Drug,Disease
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
2,90
2,21
2,91
2,24
2,25
2,26
2,92
2,93
2,94
2,95
2,96
2,97
2,98
2,99
2,100
2,101
2,39
2,102
2,103
2,104
2,105
2,44
2,106
2,45
2,107
2,47
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,50
2,115
2,116
2,117
2,118
2,58
2,119
2,120
2,121
2,9
2,122
2,123
2,124
2,125
2,11
2,126
2,127
2,128
2,129
2,130
2,131
2,132
2,133
2,84
2,134
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,142
2,143
2,144
2,145
2,146
2,147
2,148
2,89
2,149
3,90
3,150
3,24
3,28
3,93
3,151
3,152
3,101
3,153
3,154
3,155
3,45
3,156
3,157
3,158
3,47
3,110
3,159
3,114
3,160
3,50
3,115
3,161
3,162
3,163
3,164
3,9
3,124
3,11
3,165
3,129
3,130
3,84
3,134
3,166
3,136
3,140
3,167
3,168
3,143
3,144
3,147
4,169
4,170
4,171
4,172
4,173
4,35
4,174
4,175
4,176
4,177
4,47
4,51
4,178
4,179
4,180
4,68
4,70
4,72
4,11
4,181
4,182
4,183
4,146
5,1
5,184
5,185
5,186
5,187
5,188
5,189
5,95
5,190
5,191
5,97
5,192
5,193
5,100
5,194
5,195
5,36
5,196
5,197
5,198
5,3
5,199
5,200
5,201
5,38
5,39
5,40
5,202
5,103
5,104
5,203
5,204
5,205
5,206
5,207
5,208
5,209
5,210
5,116
5,211
5,117
5,212
5,7
5,213
5,62
5,63
5,68
5,214
5,215
5,122
5,216
5,124
5,217
5,10
5,218
5,11
5,12
5,219
5,220
5,221
5,138
5,146
5,89
6,0
6,185
6,186
6,92
6,222
6,223
6,224
6,191
6,103
6,44
6,225
6,156
6,208
6,226
6,227
6,7
6,228
6,124
6,229
6,125
6,230
6,83
6,231
6,220
6,138
6,232
6,143
6,146
7,90
7,150
7,233
7,151
7,36
7,103
7,45
7,47
7,116
7,117
7,58
7,59
7,9
7,11
7,234
7,128
7,130
7,84
7,134
7,136
7,235
7,143
8,18
8,236
8,150
8,237
8,24
8,31
8,238
8,239
8,240
8,241
8,242
8,243
8,244
8,98
8,194
8,245
8,201
8,39
8,202
8,103
8,246
8,247
8,156
8,248
8,249
8,51
8,58
8,59
8,120
8,60
8,64
8,74
8,11
8,250
8,251
8,126
8,77
8,78
8,252
8,253
8,80
8,81
8,82
8,84
8,86
8,254
8,141
8,168
8,144
8,146
9,17
9,19
9,255
9,20
9,256
9,22
9,257
9,258
9,23
9,1
9,24
9,25
9,26
9,259
9,260
9,261
9,27
9,262
9,28
9,29
9,263
9,30
9,264
9,265
9,266
9,95
9,223
9,267
9,35
9,245
9,36
9,37
9,201
9,38
9,39
9,40
9,103
9,44
9,45
9,46
9,268
9,246
9,269
9,270
9,271
9,272
9,47
9,48
9,111
9,273
9,50
9,51
9,52
9,53
9,54
9,274
9,56
9,275
9,57
9,58
9,7
9,59
9,120
9,61
9,161
9,62
9,64
9,65
9,66
9,67
9,69
9,276
9,70
9,215
9,73
9,277
9,278
9,124
9,10
9,279
9,76
9,280
9,77
9,252
9,165
9,181
9,230
9,81
9,281
9,82
9,282
9,283
9,83
9,139
9,86
9,87
9,143
9,88
9,284
9,285
9,147
9,89
10,286
10,90
10,22
10,29
10,241
10,287
10,288
10,289
10,290
10,291
10,292
10,98
10,152
10,194
10,175
10,153
10,102
10,154
10,44
10,225
10,156
10,269
10,271
10,157
10,158
10,293
10,294
10,47
10,113
10,114
10,273
10,208
10,178
10,52
10,295
10,54
10,296
10,228
10,120
10,297
10,162
10,67
10,298
10,9
10,122
10,299
10,300
10,301
10,302
10,303
10,304
10,128
10,305
10,306
