Drug,Protein
0,1163
0,472
0,2504
0,1171
0,4530
0,3403
0,4819
0,5253
0,5978
0,2525
0,3572
0,5990
1,3604
2,5355
2,4378
2,3650
3,3403
3,5978
3,2647
4,951
4,2824
4,5990
4,3333
4,4007
4,5888
5,5528
5,1451
5,1903
6,5092
6,2849
6,4157
6,2547
7,5355
7,3650
7,3266
7,2392
8,3186
8,1378
9,5355
9,3650
10,5250
10,2178
10,591
10,5807
10,3403
10,5978
10,3016
10,2647
10,3922
10,1594
10,5769
11,4907
11,5250
11,1546
11,1301
11,4212
11,5657
11,472
11,2013
11,3716
11,1171
11,4530
11,4599
11,3403
11,4819
11,5932
11,5978
11,2647
11,3922
11,328
12,1171
12,3922
13,1006
13,2186
14,5250
14,3904
14,4335
14,3943
14,1378
14,2030
14,2903
15,5042
16,1435
16,5074
17,566
18,5925
18,181
19,2178
19,2312
19,627
19,1636
19,5963
19,4194
19,2030
20,4635
21,5358
21,83
22,576
22,5720
22,2445
23,4965
23,4980
23,1060
23,3937
23,4694
23,1526
23,5858
23,2613
23,3737
23,5850
23,2410
23,880
23,1097
23,1190
23,885
23,2507
23,3059
23,3595
24,5963
25,1006
25,2186
25,5933
26,4907
26,1546
26,5932
27,5673
27,3973
27,3564
27,5391
27,4137
27,764
27,363
27,1247
27,593
28,1248
28,2845
29,627
29,1636
29,5963
29,2405
30,1301
31,627
31,1636
31,5963
31,682
32,2046
32,5183
32,3195
32,4894
32,301
33,9
34,712
34,3060
34,5960
34,4409
34,5413
34,1931
34,547
34,1773
34,4318
34,5117
34,5287
34,3449
34,4080
34,5463
34,2532
34,1434
34,712
34,3060
34,5960
34,5413
34,3449
34,4080
34,5463
35,2312
35,3403
35,3081
35,5990
35,1014
35,3730
36,4393
36,727
36,1971
36,3452
36,2587
36,1554
36,4840
36,1553
37,3219
37,3355
37,4737
37,1303
37,5334
37,3039
37,5460
37,4777
38,3186
38,3904
38,5827
38,4919
38,1378
38,284
38,862
38,3284
38,4504
39,1301
40,1248
40,2845
41,5355
41,3650
42,3379
42,4929
42,5782
42,3027
42,619
42,192
42,1690
42,900
42,1983
42,3441
42,5245
42,2395
42,768
42,2694
42,844
42,3806
42,2543
42,233
42,3689
42,5227
42,1992
42,3870
42,1422
43,3650
43,455
44,5355
44,2531
44,5737
44,4037
44,3673
44,3650
