Protein,Disease
3102,0
31,0
5578,0
3459,0
796,0
356,0
2037,0
221,0
1898,0
1672,0
663,0
4254,0
1776,0
5425,0
3342,0
715,0
3624,0
1390,0
5612,0
2756,0
3057,0
4873,0
5967,0
2525,0
964,0
2966,0
660,0
3108,0
5410,0
5675,0
312,0
5895,0
4921,0
3517,0
2018,0
3190,0
2147,0
3033,0
4193,0
1229,0
1708,0
2207,0
286,0
310,0
307,1
2487,1
2016,1
583,1
832,1
1183,1
1904,1
3833,1
1188,1
2852,1
2372,1
5031,1
3484,1
660,1
4667,1
4859,1
3277,1
4943,1
4931,1
2021,1
5278,1
5677,3
5716,3
1999,3
1451,3
5905,3
4768,3
1197,3
3927,3
3517,3
4194,3
2819,6
1251,6
5945,6
1623,6
5410,7
5677,8
4984,8
5980,9
457,9
3703,9
5186,9
31,9
1784,9
3578,9
529,9
2240,9
1646,9
4834,9
922,9
3447,9
1049,9
594,9
4651,9
5625,9
867,9
1063,9
4167,9
1946,9
1121,9
326,9
3976,9
46,9
5926,9
4471,9
2807,9
4698,9
4194,9
5260,9
3650,9
5084,9
6033,9
2339,9
1949,9
5044,9
998,9
4478,9
5039,10
4084,10
5694,10
2880,10
4101,10
3102,10
5978,10
5980,10
238,10
5879,10
1394,10
31,10
2016,10
5677,10
5716,10
2877,10
4632,10
5759,10
1168,10
2689,10
5888,10
444,10
356,10
2677,10
5881,10
5962,10
3765,10
221,10
1898,10
1595,10
1163,10
715,10
4087,10
2935,10
1451,10
5612,10
2358,10
2372,10
5413,10
470,10
3053,10
2305,10
2320,10
590,10
3484,10
2338,10
6016,10
1659,10
3244,10
3230,10
1841,10
2015,10
1076,10
1449,10
3043,10
6024,10
4167,10
2602,10
5410,10
4680,10
1634,10
5765,10
1197,10
950,10
2371,10
956,10
5895,10
5950,10
3324,10
4760,10
3517,10
2018,10
4460,10
915,10
113,10
3938,10
5610,10
4194,10
1921,10
3650,10
5907,10
5196,10
4389,10
5265,10
1602,10
1454,10
3754,10
5317,10
4943,10
3175,10
4452,10
4317,10
3968,10
1591,10
1778,10
5364,10
5266,10
5786,10
4995,10
467,10
1704,10
4219,10
538,10
3703,11
3836,11
1044,11
5736,11
2972,11
643,11
901,11
5545,11
2851,11
4254,11
3540,11
4160,11
3709,11
386,11
4692,11
2261,11
4798,11
2378,11
2145,11
594,11
288,11
964,11
867,11
3618,11
4505,11
5675,11
212,11
956,11
5774,11
609,11
1348,11
4361,11
5570,11
3691,11
4060,11
3556,11
4378,11
5378,11
344,11
2127,11
734,11
4337,12
4733,12
4735,12
3102,12
2911,12
5428,12
5716,12
622,12
5762,12
356,12
718,12
2677,12
2037,12
5881,12
221,12
5449,12
1898,12
4254,12
715,12
2935,12
5612,12
3326,12
3426,12
4554,12
861,12
2047,12
426,12
3018,12
1102,12
1171,12
2132,12
4507,12
964,12
4816,12
5583,12
3077,12
956,12
1158,12
5895,12
572,12
627,12
3324,12
3951,12
5757,12
5283,12
2425,12
109,12
4194,12
2628,12
5084,12
6033,12
2366,12
4452,12
1229,12
5979,12
373,12
1133,12
4013,12
3965,13
2067,13
5980,14
31,14
4632,14
2677,14
4813,14
2511,14
2966,14
1197,14
43,14
2371,14
5895,14
1109,14
3190,14
1260,14
4931,14
4048,14
4984,15
3891,15
3730,15
1294,15
2119,15
2853,17
2388,17
849,17
5668,17
2831,17
3673,17
4643,17
2435,17
31,17
691,17
5189,17
1239,17
3705,17
5869,17
1504,17
5557,17
5228,17
2166,17
2569,17
1309,17
5832,17
1255,17
4160,17
2818,17
3035,17
1097,17
4122,17
3905,17
3160,17
2717,17
1980,17
3342,17
1564,17
3099,17
2175,17
