Drug,Disease
830,33
732,97
804,141
836,47
891,4
875,93
373,47
373,107
569,14
702,12
656,224
168,27
168,283
168,380
701,94
807,4
274,43
274,11
274,15
419,11
419,204
126,94
863,74
637,263
236,48
572,2
77,34
77,212
63,2
63,11
63,46
63,241
63,64
63,70
498,60
498,15
420,11
420,204
260,141
260,73
40,15
40,17
46,11
46,60
46,122
46,164
46,392
46,236
46,3
307,61
307,3
307,56
752,47
72,356
72,416
72,436
72,359
72,379
31,218
31,234
31,99
31,60
31,273
31,205
31,40
31,126
31,122
330,74
330,177
437,11
437,15
515,76
515,54
184,305
184,242
184,225
184,243
91,145
91,88
91,149
91,172
91,220
13,12
13,198
13,24
13,189
13,112
13,185
13,372
13,119
13,51
13,75
13,89
13,421
13,428
887,38
555,69
116,1
116,272
289,21
289,29
494,42
494,418
693,33
264,1
264,38
105,86
105,38
105,71
105,166
783,82
245,4
245,95
245,81
874,14
688,13
5,91
5,114
5,12
5,32
5,144
5,51
5,46
5,119
5,112
5,89
5,75
5,59
5,2
5,25
5,111
5,48
5,96
5,19
5,10
5,13
5,23
5,24
5,61
5,3
5,43
5,11
5,156
5,87
5,77
5,64
5,70
5,56
5,159
5,110
5,113
5,63
496,106
496,56
885,47
310,21
310,187
310,262
53,243
53,305
53,225
53,304
53,65
53,242
53,313
464,1
650,97
785,171
38,3
38,210
38,134
38,12
38,286
38,24
38,75
376,7
376,69
42,35
42,52
42,438
42,37
42,73
640,42
17,17
17,16
17,68
17,19
17,13
17,39
17,23
17,10
17,53
17,83
17,120
17,139
17,72
17,127
411,82
675,7
3,24
3,91
3,114
3,76
3,12
3,32
3,144
3,51
3,46
3,119
3,185
3,189
3,112
3,75
3,89
3,48
3,2
3,96
3,19
3,10
3,197
3,33
3,142
3,134
3,25
3,111
3,13
3,23
3,4
3,59
3,61
3,3
3,43
3,11
3,159
3,110
3,156
3,87
3,77
3,113
3,64
3,70
3,176
3,56
3,133
3,63
3,69
352,340
352,201
491,3
491,15
195,11
195,110
195,46
9,172
9,139
9,13
9,39
9,23
9,10
9,53
9,83
9,120
9,16
9,68
9,81
9,220
9,213
9,95
9,149
9,88
9,115
9,314
9,276
9,145
9,108
853,14
883,15
104,49
104,58
104,4
104,108
104,81
601,166
67,4
67,179
67,62
67,441
67,387
67,224
626,233
506,242
506,409
854,288
798,30
489,30
482,4
174,12
546,155
45,12
45,59
45,42
366,394
459,2
462,12
842,35
524,419
232,1
232,7
301,183
301,63
301,124
132,1
221,1
221,38
296,412
296,290
528,54
252,54
252,148
311,54
311,148
311,402
730,30
652,47
181,93
181,89
810,25
484,30
484,26
636,94
759,171
417,63
417,124
238,171
238,264
238,292
818,431
456,2
0,170
0,125
0,12
0,32
0,59
0,51
0,64
0,154
0,87
0,23
0,11
0,43
0,2
0,61
0,3
0,133
0,33
0,96
0,48
0,24
0,91
0,114
0,76
0,144
0,46
0,119
0,185
0,189
0,112
0,75
0,89
0,239
0,19
0,10
0,197
0,142
0,134
0,25
0,111
0,270
0,13
0,39
0,53
0,83
0,120
0,16
0,68
0,27
0,4
0,159
0,110
0,156
0,77
0,113
0,70
0,176
0,56
0,63
0,69
512,425
512,193
178,299
178,69
178,113
178,193
157,40
157,60
157,122
479,7
479,73
478,1
866,192
8,451
8,269
8,371
8,228
8,376
8,385
8,430
8,188
8,255
8,221
8,301
8,432
8,324
8,343
8,449
8,214
8,364
8,316
8,209
8,410
8,367
8,194
8,143
8,138
8,216
8,345
8,302
543,74
288,48
380,106
380,56
613,35
500,282
500,106
761,14
324,54
822,201
535,102
166,21
166,29
103,71
103,38
103,54
644,14
618,1
363,1
772,1
686,40
234,21
639,164
499,1
160,48
817,7
59,12
74,12
74,32
74,42
185,11
185,46
185,204
185,23
365,11
365,46
279,3
279,253
848,109
534,72
356,291
356,233
520,2
520,78
152,321
152,179
152,414
152,178
657,74
335,1
333,50
333,14
457,23
348,85
348,4
502,365
502,445
658,74
388,90
388,351
447,50
447,14
596,7
674,214
872,355
771,252
739,60
390,33
390,200
1,246
1,2
1,3
1,61
1,23
1,64
1,154
1,87
1,170
1,24
1,96
1,285
1,202
1,25
1,119
1,48
1,33
1,42
1,59
1,125
1,12
1,32
1,75
1,51
1,91
1,114
1,76
1,144
1,46
1,185
1,189
1,112
1,89
1,19
1,10
1,197
1,142
1,134
1,111
1,13
1,4
1,43
1,11
1,110
1,156
1,77
1,113
1,70
1,176
1,56
1,133
1,63
1,69
1,27
588,78
136,12
670,134
172,78
172,69
445,164
43,11
43,164
43,279
43,308
43,253
43,236
43,159
43,110
255,231
255,17
350,17
183,100
44,25
44,357
44,171
44,264
382,1
432,1
347,60
347,122
672,47
54,34
54,347
54,135
54,27
638,40
792,248
594,4
375,83
375,23
521,179
625,41
319,30
617,14
758,14
877,14
564,4
425,40
425,99
583,1
247,245
247,149
48,208
48,229
48,124
48,136
48,165
745,83
182,93
737,177
10,172
10,139
10,108
10,168
10,95
10,13
10,39
10,23
10,10
10,53
10,83
10,120
10,16
10,68
10,219
10,149
10,88
10,115
10,314
10,276
10,145
628,290
52,12
52,32
52,59
290,2
79,296
79,21
79,284
79,178
303,7
303,73
51,107
536,258
162,1
162,38
20,4
20,72
20,92
20,95
20,173
20,49
20,128
20,129
20,127
20,353
20,108
20,172
169,24
169,12
169,32
888,74
773,106
248,82
248,35
573,42
562,155
164,52
164,35
164,140
121,295
121,13
660,107
858,67
406,30
406,78
262,24
262,198
450,67
82,10
82,211
82,39
82,53
82,437
138,82
138,35
138,400
544,397
32,43
32,122
32,60
32,218
32,226
32,234
32,205
32,318
