Drug,Protein
0,7635
1,10633
1,6405
1,15094
1,7635
1,5018
2,15094
2,7635
3,7635
4,15094
4,7635
5,7635
6,7635
7,7635
8,9515
9,11237
9,9287
10,5018
11,12685
12,11647
12,89
12,6300
13,2752
14,11647
15,18112
15,5717
15,10784
15,15554
15,3148
15,13718
15,16516
15,6422
15,9935
15,8812
15,12254
15,14606
15,9861
15,540
15,10912
15,6562
15,697
15,16767
15,3842
15,13939
15,18689
15,12494
15,13739
15,5512
15,1437
15,15654
15,2780
15,16009
16,8088
16,12154
16,8694
17,4858
18,11237
18,12042
20,4858
20,15910
20,5018
20,15547
20,6720
20,14798
21,3143
21,10877
24,1926
24,11907
24,15452
24,10703
25,18864
25,10538
25,4941
25,13294
26,16734
26,13724
26,3671
28,5018
28,2980
28,15295
28,9618
28,10385
28,13908
28,13717
28,14425
28,17734
28,14175
28,13167
28,628
28,10332
28,5841
28,11047
28,11473
28,538
29,12003
29,6107
29,7137
29,14898
29,15145
29,1188
30,18112
30,10784
30,8256
31,14609
31,12947
32,3143
32,9835
32,9508
32,14609
32,5018
32,7095
32,6583
33,4858
33,15910
33,5018
33,15547
33,6720
33,14798
34,9513
34,16209
35,15486
35,11864
35,2696
35,6657
35,5666
35,8080
35,8997
36,18832
37,18061
37,7092
37,17695
37,14712
37,9579
37,10769
37,14654
37,2519
37,14886
38,17989
39,9010
39,7148
39,6029
40,16153
40,9345
40,9808
40,17444
40,8530
40,7294
40,3635
40,8832
40,14521
40,11114
40,18114
40,8896
40,7655
40,10392
40,13305
40,3716
40,16660
40,7936
41,2875
41,3496
41,15950
41,4996
41,14277
41,4116
41,14936
41,15523
41,13568
41,2173
41,2597
41,16694
41,14296
41,1315
41,10333
41,5453
41,17124
41,9845
41,1625
41,5725
41,2156
41,10656
41,14724
41,763
41,1596
41,9542
41,14692
41,11211
41,12813
41,9326
41,6082
42,3143
42,7245
42,16175
42,8354
42,5099
42,14957
42,14668
43,16153
43,9345
43,9808
43,8530
43,14521
43,18114
44,4117
44,7014
45,18112
45,2997
45,3087
45,10784
45,16631
45,9451
45,11501
45,4510
45,6029
46,18112
46,5717
46,10784
48,10719
48,2744
48,11237
49,16734
50,2545
50,7041
51,15295
51,13908
51,10385
51,9618
51,13717
51,2980
51,4467
51,4967
51,1583
51,642
51,14425
51,17734
51,14175
51,13167
51,628
51,10332
51,5841
51,11047
51,11473
51,538
52,10784
52,4116
52,5340
52,9845
52,7089
53,1819
54,3937
54,12298
55,3937
55,9935
55,12298
55,4685
56,4492
57,4439
57,5018
58,9896
59,18112
59,2997
59,3087
59,15910
59,10784
59,15586
59,18489
59,8941
59,17816
59,10932
60,9513
60,5912
60,9158
60,4527
60,6613
60,13935
61,3143
61,10719
61,2744
61,11237
61,16421
61,3917
61,10133
61,7958
61,16804
61,17068
61,6729
62,1971
62,16734
62,13724
62,4893
62,18375
62,11908
62,11775
62,7056
62,2559
63,17341
63,7635
64,12003
64,7137
64,15145
64,1188
65,6448
65,6337
66,11647
67,6912
68,12288
68,14445
68,16999
68,2933
68,3124
69,15094
69,14159
69,7635
70,11131
70,12998
71,15851
71,10121
71,17635
71,16413
71,7245
71,6594
71,13429
73,15094
73,7635
74,18112
74,10784
75,10719
75,2744
75,11237
77,4439
77,2361
77,1583
77,5018
77,3735
77,18395
77,8469
78,11237
79,11249
79,3575
79,12288
79,12003
79,14445
79,6107
79,9308
79,18640
79,16413
79,7137
79,7245
79,14898
79,15145
79,5527
79,13429
79,11967
79,16999
79,1188
79,15460
79,2933
80,10333
80,5453
81,18112
81,10784
83,2980
83,4467
83,4967
83,1583
83,5018
83,642
83,18045
83,3118
83,6228
83,1696
83,15560
83,15427
83,9049
84,7739
84,8997
85,2545
86,2997
86,5018
86,8687
87,3496
87,8221
87,15950
87,16694
87,14296
87,1315
87,4996
87,13223
87,10574
87,2173
87,11211
87,12813
87,9326
87,6082
88,9835
88,17341
88,7635
89,17342
89,11131
89,17692
89,6081
89,9804
90,12288
90,16999
91,11237
91,9287
92,2545
92,17374
92,2215
92,10826
92,10741
92,18169
92,8491
92,10766
92,544
92,11864
92,2696
92,2095
92,6957
92,2616
92,12328
92,13410
92,12630
92,7981
92,14942
92,15690
92,16136
92,8997
92,7914
92,9978
92,14936
92,13568
92,2875
93,4951
93,3874
93,8354
94,4439
94,17341
94,4541
94,2980
94,15295
94,9618
94,10385
94,13908
94,13717
94,14425
94,17734
94,14175
94,13167
94,628
94,10332
94,5841
94,11047
94,11473
94,538
95,13910
95,5018
96,17144
97,2875
97,14277
97,7981
97,2616
97,3309
97,8997
97,2095
97,8080
98,5305
98,13418
98,13810
98,7562
98,10397
98,5018
98,12356
98,5418
98,4370
98,5825
99,3143
99,11350
99,10857
99,3688
101,12288
101,16999
102,18112
102,10784
102,1551
103,12974
103,4319
103,4741
105,9896
106,9835
106,9508
106,17341
106,14159
106,11860
106,7635
106,5018
106,9818
106,1756
106,18256
106,15787
106,17374
106,2215
106,10826
106,10741
106,18169
106,8491
106,10766
106,544
106,11864
106,2696
106,2095
106,6957
106,2616
106,12328
106,13410
106,12630
106,7981
106,14942
106,15690
106,16136
106,8997
106,7914
106,9978
106,14936
106,13568
106,2875
107,15486
107,14221
107,2652
108,12288
108,12003
108,4951
108,7137
108,3874
108,16999
108,2249
108,8354
108,5014
108,2504
108,18006
108,10322
108,15555
108,13376
108,7473
108,7171
108,7960
108,10080
108,14427
108,4739
108,5912
109,11647
110,11237
111,18112
111,10784
112,1583
112,5018
112,3496
112,8221
112,15950
112,16694
112,14296
112,1315
112,4996
112,13223
112,10574
112,2173
113,11864
114,12288
114,12003
114,7137
114,14898
114,15145
114,16999
114,2249
114,1188
115,2545
116,6181
116,5912
117,14047
118,3143
118,7914
118,2616
118,14936
118,7137
118,15145
118,2506
118,1188
118,8354
118,13568
118,8997
119,12288
119,16999
120,6428
121,1369
121,6304
122,18061
122,7092
122,1211
122,1465
122,17695
122,14371
122,7320
122,16957
122,11341
122,6175
122,12841
122,16287
122,18635
122,9019
122,4088
122,5900
122,11660
122,2352
122,14886
122,18511
122,7952
122,629
122,15936
123,6428
124,9308
124,5527
124,15460
124,7137
124,15145
124,1188
124,12003
124,14898
124,6107
125,7635
126,16996
127,11131
127,9804
128,11131
129,333
129,4997
129,9793
129,1483
129,9452
129,3391
129,18587
129,12429
130,283
130,9798
131,3937
131,13866
131,16391
131,17744
131,6570
132,11131
133,16175
133,1583
133,13378
133,642
134,6044
135,9010
135,9262
135,1978
135,4896
135,13400
135,17737
135,9791
135,6029
136,18112
136,10784
137,11249
137,15851
137,4192
137,8177
137,12003
137,14445
137,6107
137,6228
137,17635
137,16413
137,7137
137,7245
137,14898
137,5527
137,13429
137,15460
137,2481
137,16795
138,2980
138,15295
138,9618
138,10385
138,13908
138,13717
138,14425
138,17734
138,14175
138,13167
138,628
138,10332
138,5841
138,11047
138,11473
138,538
139,3530
139,5807
140,14710
140,4171
141,11647
142,18112
142,10784
142,7468
142,8194
142,1437
142,6029
142,3965
143,18269
144,12003
144,14445
144,9308
144,5527
144,15460
145,9158
145,9328
146,6181
147,6428
148,6448
148,6720
149,17341
149,7635
150,11249
150,3575
150,14445
150,9308
150,14898
150,5527
150,15460
151,11452
151,9515
151,16330
152,2499
152,18123
153,12288
153,16999
154,11219
154,14175
155,3176
155,7616
156,18112
156,10784
157,10633
157,17144
157,16526
157,5018
157,16055
157,822
157,68
157,10577
157,2111
157,3198
157,5730
157,6821
157,14045
157,7426
157,15451
157,706
157,6556
157,2616
157,12328
157,13410
157,12630
157,7981
157,14942
157,15690
157,16136
157,16841
157,10350
157,10471
157,9339
157,10581
157,2083
157,3072
157,228
157,16595
157,243
157,6724
157,4653
157,11669
157,3071
157,12995
157,7051
157,15349
157,5235
157,1433
157,13019
157,12152
157,8306
157,11800
157,4737
157,9879
157,8713
157,12103
157,3143
157,2948
157,7632
157,17956
157,15151
157,18497
157,6421
157,14750
157,13031
157,6657
157,9784
157,5666
157,11985
157,13086
157,11392
157,4187
157,1151
157,9397
158,12288
158,16999
158,7137
158,15145
158,1188
159,17144
159,3198
159,11907
159,5018
160,13760
160,8984
160,9682
160,1798
160,8941
161,11249
161,15851
161,10121
161,6428
161,3575
161,10625
161,12288
161,12673
161,12003
161,14445
161,210
161,6107
161,9308
161,18640
161,98
161,10447
161,17635
161,16413
161,10524
161,7137
161,7245
161,6594
161,14898
161,15145
161,5527
161,9585
161,3874
161,13429
161,11967
161,16999
161,8354
161,15460
161,5549
161,2933
161,2481
161,5363
161,9402
161,18045
161,3118
161,6228
161,1696
161,15560
161,15427
161,9049
162,3143
162,4135
162,12288
162,1332
162,12003
162,6107
162,7137
162,14898
162,15145
162,16999
162,1188
162,6933
162,6999
162,9033
162,3788
162,6089
162,6556
162,706
163,17341
163,4473
163,14159
163,7635
164,18640
164,16413
164,4951
164,7245
164,8354
164,18707
165,11131
166,11249
166,3575
166,9308
166,5527
166,15460
167,7635
168,10784
168,2249
168,10817
168,2504
168,18205
168,13942
168,14857
169,18112
169,11319
169,9576
169,3087
169,13418
169,10784
169,6422
169,6938
169,16432
169,8380
170,11237
170,9287
171,12674
171,1211
171,10640
171,4183
172,14277
172,4116
172,15523
172,12538
172,2597
172,9845
172,10656
172,14692
173,4116
173,9682
173,11310
174,18112
174,2997
174,3087
174,10784
175,7635
176,17635
176,8354
177,12875
177,10352
178,14208
178,16293
178,6621
178,17743
178,4706
179,2959
180,6394
180,16055
181,17773
181,3148
182,18269
182,17918
182,9262
183,18789
183,15000
185,7635
186,11319
186,17745
186,18045
186,15560
186,6228
186,320
186,15427
186,3118
186,6422
186,8380
187,17635
188,17635
188,782
189,2616
189,17374
190,6181
190,3087
192,15366
192,16799
192,6089
193,12034
193,16634
194,4951
194,3874
194,8354
194,1622
194,15636
194,8177
195,15094
195,7635
196,11249
196,3575
196,12003
196,14445
196,6107
196,9308
196,18640
196,16413
196,7245
196,14898
196,5527
196,11967
196,15460
196,2933
197,8984
197,9682
198,12974
198,4319
199,9143
199,17554
199,4688
199,2127
