Disease1,Disease2,Sim
0,4,0.13636363599999998
0,6,0.015228426000000003
0,11,0.033333333
0,13,0.104651163
0,16,0.028571429
0,21,0.09
0,23,0.108433735
0,25,0.031914894
0,26,0.035460993
0,30,0.035294118
0,31,0.121387283
0,41,0.091836735
0,48,0.361445783
0,53,0.10106383
0,56,0.017191977
0,59,0.040983607000000005
0,61,0.07627118599999999
0,62,0.087719298
0,66,0.03
0,70,0.104651163
0,71,0.035294118
0,75,0.08450704199999999
0,77,0.073298429
0,80,0.125
0,88,0.108695652
0,92,0.211538462
0,95,0.144067797
0,104,0.014760148
0,107,0.229581994
0,113,0.10106383
0,124,0.086538462
0,126,0.088235294
0,127,0.089820359
0,128,0.017391304
0,129,0.10619469
0,130,0.090909091
0,132,0.131578947
0,138,0.027272727000000004
0,141,0.03125
0,142,0.109756098
0,143,0.08200455599999999
0,149,0.268085106
0,151,0.02994012
0,154,0.088235294
0,155,0.221674877
0,158,0.044642857
0,161,0.098591549
0,162,0.017964072
0,166,0.104651163
0,169,0.033707865
0,170,0.023121387
0,171,0.114754098
0,174,0.023529412000000003
0,179,0.216494845
0,180,0.020618557
0,182,0.16867469899999998
0,184,0.247706422
0,186,0.159574468
0,189,0.020725389
0,193,0.018691589
0,198,0.0625
0,199,0.146341463
0,200,0.0625
0,204,0.076923077
0,206,0.103448276
0,207,0.019512195
0,208,0.114754098
0,210,0.146341463
0,216,0.030927835
0,219,0.036585366
0,220,0.053097345
0,221,0.28301886800000003
0,223,0.249406176
0,231,0.018779343
0,234,0.229581994
0,235,0.099173554
0,238,0.13636363599999998
0,239,0.02970297
0,240,0.249011858
0,246,0.157303371
0,248,0.104651163
0,249,0.022099448
0,251,0.104477612
0,255,0.089820359
0,256,0.12
0,258,0.070588235
0,260,0.021479714
0,264,0.027777778
0,275,0.063157895
0,277,0.147058824
0,278,0.092198582
0,287,0.02020202
0,290,0.12745098
0,292,0.133333333
0,306,0.109947644
0,318,0.022988506
0,322,0.030927835
0,324,0.319587629
0,325,0.180851064
0,327,0.026865672
0,338,0.08974359
0,341,0.053097345
0,345,0.08035714299999999
0,349,0.078512397
0,351,0.29216152
0,352,0.13636363599999998
0,357,0.159292035
0,359,0.023121387
0,360,0.081967213
0,361,0.07826087
0,364,0.031914894
0,365,0.047169811
0,366,0.0997151
0,371,0.08035714299999999
0,376,0.016949153
0,381,0.017857143
0,387,0.056818182
0,389,0.035294118
0,390,0.35099337700000005
0,393,0.033333333
0,398,0.017964072
0,401,0.035294118
0,403,0.086538462
0,409,0.035294118
0,410,0.081447964
0,412,0.0234375
0,424,0.229581994
0,428,0.086538462
0,429,0.127118644
0,430,0.296137339
0,435,0.102040816
0,438,0.023809524
0,444,0.0133829
0,450,0.034883721
0,452,0.06116208
0,453,0.15178571400000002
1,9,0.011857708
1,17,0.027522936
1,21,0.14733542300000002
1,22,0.048433048
1,35,0.036437247
1,37,0.017730496000000002
1,40,0.007874016
1,44,0.098181818
1,45,0.011857708
1,50,0.02970297
1,51,0.011857708
1,54,0.050847458
1,74,0.096418733
1,79,0.03180212
1,83,0.011857708
1,87,0.139442231
1,89,0.244094488
1,96,0.016835017
1,98,0.139442231
1,100,0.014577259
1,118,0.024
1,119,0.118110236
1,123,0.00589391
1,125,0.021077283
1,128,0.071240106
1,136,0.019920319
1,140,0.028571429
1,153,0.051359517
1,156,0.255060729
1,164,0.007874016
1,167,0.139442231
1,172,0.007874016
1,173,0.109311741
1,178,0.036437247
1,180,0.087947883
1,181,0.059760956
1,187,0.03180212
1,188,0.011857708
1,196,0.12195122
1,201,0.036437247
1,205,0.139442231
1,207,0.009118541
1,220,0.02425876
1,222,0.011857708
1,228,0.014084507
1,236,0.036437247
1,241,0.026548673
1,243,0.025069638
1,250,0.03180212
1,252,0.03180212
1,267,0.053968254000000014
1,269,0.019920319
1,270,0.029126214
1,272,0.007874016
1,283,0.182711198
1,286,0.019920319
1,299,0.019920319
1,310,0.029508197000000007
1,311,0.025352113
1,312,0.019920319
1,313,0.032727273
1,314,0.054662379
1,319,0.014409222
1,321,0.076923077
1,323,0.025936599
1,332,0.036437247
1,333,0.007874016
1,334,0.056478405
1,337,0.011857708
1,339,0.159322034
1,340,0.022556391
1,341,0.02425876
1,342,0.011857708
1,344,0.025936599
1,346,0.019920319
1,347,0.011857708
1,349,0.022332506
1,353,0.025352113
1,358,0.244094488
1,367,0.036437247
1,368,0.204747774
1,385,0.007874016
1,388,0.019920319
1,397,0.08300395299999999
1,402,0.139442231
1,411,0.011857708
1,414,0.023376623
1,417,0.027863777000000003
1,422,0.036437247
1,427,0.018867925
1,432,0.011857708
1,434,0.054662379
1,439,0.109311741
1,446,0.007874016
1,448,0.012787724
1,449,0.019920319
2,4,0.09375
2,6,0.080536913
2,10,0.214285714
2,12,0.230769231
2,13,0.08064516099999999
2,14,0.06944444400000001
2,26,0.128205128
2,38,0.071428571
2,53,0.06428571400000001
2,61,0.053191489
2,64,0.14285714300000002
2,65,0.205479452
2,66,0.197368421
2,69,0.195121951
2,70,0.08064516099999999
2,75,0.072727273
2,77,0.067085954
2,80,0.0625
2,84,0.078431373
2,86,0.205479452
2,88,0.052631579000000005
2,92,0.037878788
2,104,0.053811659000000005
2,107,0.056362084000000014
2,109,0.071428571
2,112,0.191780822
2,113,0.06428571400000001
2,116,0.192307692
2,129,0.08988764
2,132,0.066666667
2,149,0.053475936
2,154,0.064102564
2,158,0.090909091
2,166,0.08064516099999999
2,175,0.230769231
2,184,0.059544658
2,193,0.16867469899999998
2,194,0.060913706
2,202,0.112676056
2,214,0.230769231
2,217,0.101910828
2,221,0.065454545
2,223,0.073846154
2,225,0.112676056
2,227,0.088888889
2,233,0.230769231
2,234,0.056362084000000014
2,240,0.048780488
2,248,0.08064516099999999
2,256,0.078947368
2,258,0.164251208
2,271,0.083333333
2,276,0.063829787
2,278,0.073394495
2,280,0.352941176
2,291,0.103448276
2,297,0.224719101
2,302,0.071428571
2,303,0.088888889
2,304,0.205479452
2,306,0.111888112
2,309,0.083333333
2,316,0.243902439
2,324,0.345679012
2,335,0.057803468
