ID,Disease
0,D009394
1,D006973
2,D001249
3,D003876
4,D001943
5,D001932
6,D009298
7,D012559
8,D010003
9,D065631
10,D015451
11,D011565
12,D001172
13,D006689
14,D003924
15,D000152
16,D054198
17,D015470
18,D006319
19,D015464
20,D007592
21,D010300
22,D004401
23,D009182
24,D003093
25,D009103
26,D005764
27,D009101
28,D001764
29,D020734
30,D010437
31,D005902
32,D001171
33,D014376
34,D010024
35,D003863
36,D001281
37,D016584
38,D000787
39,D008224
40,D002177
41,D001289
42,D006073
43,D012628
44,D003371
45,D012148
46,D008178
47,D007319
48,D009404
49,D013274
50,D003922
51,D008180
52,D009771
53,D020522
54,D006949
55,D001145
56,D002644
57,D031845
58,D015179
59,D013167
60,D014005
61,D017449
62,D002292
63,D001762
64,D010392
65,D016481
66,D015212
67,D004715
68,D054218
69,D008575
70,D010391
71,D009203
72,D002289
73,D001714
74,D015658
75,D017285
76,D006980
77,D001528
78,D029424
79,D006938
80,D046589
81,D001749
82,D001008
83,D016411
84,D011471
85,D007006
86,D003324
87,D013262
88,D018232
89,D012595
90,D006526
91,D000224
92,D010190
93,D065627
94,D013203
95,D010051
96,D000744
97,D005705
98,D000083242
99,D001228
100,D000544
101,D010033
102,D000437
103,D009765
104,D006976
105,D006030
106,D006561
107,D013036
108,D002583
109,D016553
110,D008010
111,D002819
112,D014890
113,D011928
114,D013968
115,D009447
116,D009128
117,D001327
118,D011085
119,D013700
120,D002051
121,D020329
122,D014010
123,D012868
124,D003234
125,D025241
126,D002178
127,D004938
128,D016889
129,D000077195
130,D005879
131,D010673
132,D020190
133,D009902
134,D009157
135,D010001
136,D010510
137,D000075222
138,D014917
139,D055752
140,D009290
141,D065768
142,D020275
143,D012541
144,D011111
145,D009396
146,D020326
147,D007011
148,D006937
149,D012512
150,D053098
151,D054179
152,D052018
153,D007873
154,D004892
155,D010373
156,D011695
157,D004832
158,D009373
159,D010916
160,D012507
161,D017241
162,D004421
163,D001523
164,D016112
165,D007918
166,D006333
167,D004829
168,D012516
169,D003966
170,D000312
171,D000690
172,D013736
173,D012514
174,D019851
175,D006528
176,D004820
177,D006509
178,D010911
179,D018273
180,D011087
181,D040181
182,D006934
183,D003550
184,D003453
185,D010488
186,D018288
187,D019578
188,D002602
189,D055953
190,D022124
191,D000848
192,D002386
193,D002647
194,D006069
195,D006954
196,D015043
197,D017114
198,D003424
199,D006111
200,D009165
201,D003480
202,D012010
203,D000505
204,D014820
205,D002862
206,D001072
207,D001606
208,D014435
209,D000881
210,D006086
211,D008228
212,D016649
213,D006828
214,D013587
215,D013915
216,D005738
217,D015228
218,D001759
219,D012509
220,D002822
221,D014406
222,D001157
223,D051474
224,D014402
225,D000562
226,D003047
227,D020790
228,D008219
229,D010284
230,D053206
231,D009190
232,D007251
233,D008288
234,D006660
235,D020961
236,D007644
237,D012532
238,D009091
239,D009080
240,D043183
241,D017515
242,D005873
243,D016585
244,D046152
245,D005910
246,D008269
247,D004374
248,D011020
249,D016736
250,D012859
251,D015352
252,D008268
253,D007645
254,D014802
255,D010930
256,D007943
257,D050031
258,D055728
259,D002280
260,D020385
261,D001259
262,D028226
263,D006962
264,D013132
265,D004422
266,D006816
267,D001477
268,D000707
269,D014437
270,D020388
271,D018263
272,D003928
273,D013174
274,D005198
275,D000347
276,D018197
277,D011225
278,D018798
279,D017488
280,D001987
281,D003555
282,D003586
283,D004893
284,D005687
285,D029503
286,D008181
287,D000141
288,D007896
289,D009855
290,D020514
291,D014123
292,D011115
293,D004169
294,D002446
295,D008545
296,D006966
297,D056693
298,D014927
299,D010383
300,D055623
301,D002771
302,D012612
303,D054221
304,D004697
305,D014245
306,D008105
307,D009437
308,D017490
309,D005359
310,D011125
311,D012555
312,D006929
313,D004761
314,D012175
315,D001162
316,D008088
317,D015419
318,D010229
319,D017229
320,D002780
321,D000172
322,D002294
323,D018901
324,D002006
325,D013919
326,D054437
327,D003731
328,D031249
329,D003414
330,D006950
331,D056729
332,D013322
333,D008589
334,D052537
335,D008527
336,D013964
337,D002971
338,D017492
339,D013920
340,D000306
341,D010282
342,D013922
343,D001474
344,D020096
345,D007922
346,D004165
347,D005271
348,D052536
349,D001176
350,D015211
351,D018357
352,D008305
353,D006394
354,D015459
355,D006501
356,D012552
357,D017887
358,D017681
359,D009889
360,D014202
361,D000743
362,D012614
363,D003218
364,D015001
365,D003551
366,D020194
367,D000196
368,D018633
369,D006953
370,D018785
371,D011778
372,D015267
373,D056725
374,D007566
375,D014648
376,D009956
377,D001321
378,D011019
379,D010237
380,D016878
381,D015499
382,D014355
383,D008581
384,D004802
385,D014141
386,D000542
387,D001254
388,D001196
389,D008175
390,D052556
391,D013742
392,D007057
393,D015175
394,D006527
395,D005878
396,D007676
397,D006946
398,D005356
399,D053579
400,D003294
401,D011546
402,D014973
403,D020246
404,D005211
405,D009617
406,D002239
407,D018856
408,D006932
409,D003457
410,D005892
411,D005776
412,D020513
413,D000749
414,D005877
415,D014846
416,D003003
417,D024741
418,D010505
419,D018879
420,D003929
421,D008947
422,D063730
423,D020165
424,D008708
425,D003930
426,D000745
427,D009135
428,D019693
429,D007888
430,D012061
431,D013344
432,D002169
433,D000015
434,D013771
435,D020159
436,D014201
437,D016403
438,D001068
439,D007876
440,D007177
441,D018207
442,D020915
443,D006712
444,D006725
445,D004443
446,D000326
447,D003554
448,D014257
449,D006100
450,D011081
451,D012373
452,D020163
453,D007946
