Drug,Disease
28,39
32,329
452,192
510,303
512,442
397,55
397,125
397,181
477,147
246,4
248,303
327,38
328,216
1116,55
438,266
438,388
438,56
438,310
438,297
438,452
438,29
438,100
438,340
438,78
438,81
438,443
438,124
438,34
486,27
486,341
405,147
567,121
17,233
23,3
23,370
23,329
255,435
255,303
427,230
427,326
433,236
433,83
459,303
462,236
587,147
489,256
302,236
304,48
106,233
259,303
265,303
267,303
126,442
180,426
180,343
299,236
123,460
464,292
464,186
464,366
464,235
505,315
588,303
49,342
49,226
49,95
49,354
49,413
570,410
570,27
59,61
59,44
59,454
59,244
214,303
214,277
226,121
226,315
233,17
584,426
584,343
340,410
343,410
475,39
349,27
672,303
682,48
689,413
689,147
689,100
689,310
689,297
689,370
263,303
713,215
560,39
236,147
236,389
236,318
244,4
131,452
145,370
145,329
145,236
145,3
145,445
145,340
145,452
145,100
145,44
145,426
145,343
145,130
145,359
573,410
161,303
444,39
576,234
195,452
195,206
295,343
295,426
446,426
632,426
632,343
635,197
637,39
208,410
354,27
359,27
359,30
359,31
749,121
710,55
339,410
339,364
339,175
752,435
535,39
628,268
618,303
197,315
523,410
62,44
62,370
62,454
62,236
62,445
62,340
62,3
62,452
62,100
62,147
62,329
62,426
62,343
62,359
62,130
422,386
422,197
163,35
163,26
0,343
416,343
416,426
416,100
416,356
416,61
416,44
416,348
416,3
416,236
416,329
416,331
416,126
416,370
416,305
525,359
525,100
761,318
564,39
287,236
287,343
6,354
6,310
6,452
6,29
6,100
6,340
6,78
6,81
6,443
6,124
6,34
6,318
6,413
6,201
6,389
6,95
6,226
6,255
6,86
6,82
6,342
6,132
399,4
604,4
707,305
677,435
266,303
344,410
764,147
764,150
764,154
764,253
764,0
764,38
209,303
37,327
403,147
408,147
414,236
414,343
414,426
414,100
414,44
414,348
414,3
414,329
414,126
414,370
414,331
414,452
414,147
414,130
19,329
205,195
159,236
230,27
336,121
280,341
42,303
42,410
318,195
257,303
748,85
864,410
186,303
144,303
269,303
269,313
210,303
212,84
212,205
172,459
193,459
503,215
874,3
716,435
716,27
330,234
606,234
331,3
331,234
646,410
526,236
189,356
189,126
189,370
189,329
189,100
189,236
189,426
189,343
189,44
189,454
189,445
189,340
189,3
189,452
189,29
189,78
189,81
189,443
189,124
189,34
189,216
189,147
189,359
189,130
692,266
692,56
692,388
692,420
692,203
692,43
692,310
692,297
692,147
692,318
692,132
617,286
312,357
649,151
649,459
697,410
699,3
699,349
699,124
699,34
699,445
699,452
699,29
699,100
699,340
699,78
699,81
699,443
699,147
699,388
700,310
700,389
700,132
310,357
842,254
338,315
730,410
731,303
1,192
765,44
547,310
547,297
547,396
547,318
547,354
547,389
547,132
859,63
859,200
350,343
666,357
389,39
608,236
55,27
270,4
439,43
439,56
439,310
439,297
439,132
439,389
439,266
439,147
439,187
625,236
885,236
156,26
779,206
779,318
105,236
805,147
805,266
832,154
832,96
832,100
773,48
638,4
457,303
213,303
285,303
1195,121
903,3
119,303
83,410
187,370
611,303
898,55
108,233
108,100
770,270
770,29
770,451
668,100
670,410
860,92
196,410
658,297
894,55
788,341
696,236
540,236
837,56
572,27
907,54
907,150
907,101
923,100
151,303
507,370
507,236
507,445
507,340
507,44
507,3
507,452
507,100
507,147
507,329
507,426
507,343
507,130
507,359
803,141
803,4
258,303
154,66
154,147
800,55
800,125
800,181
69,121
69,315
391,39
545,39
253,303
650,459
683,410
703,426
362,27
905,121
935,410
1130,26
581,236
581,83
809,66
809,25
574,303
574,277
549,236
549,343
827,151
478,202
89,236
89,343
89,426
89,100
89,356
89,44
89,348
89,3
89,331
89,329
89,126
89,370
89,454
89,445
89,340
89,452
89,147
89,130
89,216
841,4
933,151
417,236
417,343
417,426
417,100
417,356
417,44
417,348
417,3
417,331
417,329
417,126
417,370
417,445
417,340
417,452
417,147
417,130
417,359
598,359
598,100
1120,55
822,194
833,55
867,147
797,50
332,121
332,315
870,354
870,310
99,160
99,359
745,39
784,93
784,349
342,410
634,303
634,279
685,349
852,85
61,3
61,234
494,303
271,303
717,315
300,236
300,83
432,109
620,349
620,445
936,410
974,320
657,55
657,125
657,181
657,216
946,66
352,27
906,147
967,81
967,100
1025,320
1026,320
944,351
881,236
945,150
722,27
722,30
351,27
1032,297
1032,310
113,4
140,4
141,4
964,303
406,147
979,320
396,181
396,225
981,303
910,435
910,31
957,303
1019,320
948,215
1039,303
181,242
839,2
839,447
1027,236
856,178
2,215
117,354
117,310
117,132
117,440
117,389
117,452
117,29
117,100
117,340
117,78
117,81
117,443
117,124
117,34
117,95
117,226
117,255
117,86
117,82
117,342
673,205
816,194
232,370
232,329
420,419
420,121
420,101
680,303
200,27
1030,4
167,410
203,272
71,303
204,147
204,297
204,43
204,389
204,451
204,266
204,390
204,396
204,392
204,132
204,354
1022,236
1023,236
179,44
179,370
993,39
994,320
996,303
542,236
542,83
73,27
488,194
1008,39
1008,303
1008,236
347,27
348,30
348,27
353,27
356,27
358,27
86,270
86,452
513,194
1017,303
254,303
256,303
997,39
277,303
138,44
138,61
281,303
1009,303
1009,320
1029,215
1031,340
1031,29
1031,78
1031,248
90,27
90,11
91,52
118,39
1117,421
989,141
989,4
992,320
971,3
971,61
1016,236
38,421
38,130
38,343
41,426
1134,3
355,27
876,396
876,266
876,43
876,56
171,303
152,345
153,303
157,236
402,66
845,100
845,81
286,303
288,305
301,236
301,343
301,426
303,236
306,11
39,55
458,315
461,426
461,343
529,215
530,55
394,55
45,318
45,266
45,43
45,340
45,445
45,56
45,310
45,297
45,388
45,132
45,390
45,147
50,4
68,410
183,101
185,410
976,303
976,320
52,4
53,178
53,83
53,236
164,303
298,236
648,266
648,310
648,297
648,147
648,389
648,452
648,29
648,100
648,340
648,78
648,81
648,443
648,124
648,34
648,349
57,303
60,39
63,236
63,61
63,44
134,216
134,389
134,452
134,29
134,100
134,340
134,78
134,81
134,443
134,124
134,34
136,236
137,410
176,355
176,303
998,303
395,55
395,125
395,181
116,445
116,220
116,267
455,39
493,304
493,302
493,304
493,304
224,147
541,55
592,343
456,4
575,215
575,215
487,355
487,26
645,303
31,349
31,445
31,266
31,43
31,388
31,56
31,310
31,297
31,147
31,390
31,132
31,318
31,452
31,29
31,100
31,340
31,78
31,81
31,443
31,124
31,34
390,39
698,147
698,297
698,266
698,389
698,396
698,390
421,197
421,147
605,303
229,345
231,151
231,459
484,233
485,410
627,56
627,43
627,266
1003,236
34,236
34,83
401,390
401,154
401,147
98,181
98,55
234,147
775,340
775,3
613,236
640,459
781,340
781,29
781,78
781,443
781,92
782,410
320,27
610,341
334,419
334,54
334,121
334,101
334,315
580,83
774,50
641,357
642,303
557,410
626,236
626,343
79,242
81,442
293,85
293,417
294,343
615,236
109,303
614,236
360,30
360,27
361,27
361,30
378,459
1044,147
1044,297
1044,266
1044,389
1044,396
1044,390
237,398
237,266
237,56
237,147
237,132
237,390
237,187
237,388
237,43
237,389
237,396
237,310
237,297
227,121
260,303
578,303
264,303
268,303
272,303
337,315
337,121
585,55
143,303
386,39
558,303
559,359
586,4
569,346
569,55
768,236
114,4
115,303
251,303
454,83
454,236
297,236
940,147
571,303
532,359
766,341
787,55
597,39
533,236
10,55
531,419
531,101
385,39
36,379
629,4
442,303
16,65
16,410
323,154
323,270
524,236
66,181
66,55
67,303
67,277
555,39
601,3
601,234
107,66
107,147
448,236
450,343
450,426
130,303
538,303
539,3
539,340
539,29
539,78
794,21
708,147
708,349
708,124
708,34
708,452
708,29
708,100
708,340
708,78
708,81
708,443
708,389
708,266
708,388
708,318
709,39
711,39
412,356
412,126
412,370
412,329
412,44
412,100
412,236
412,426
412,343
412,445
412,340
412,452
412,130
589,303
590,83
220,442
221,121
221,417
704,178
704,39
686,142
751,27
413,356
413,370
413,126
413,329
413,100
413,236
413,426
413,343
413,44
413,454
413,445
413,340
413,3
413,452
413,147
413,216
413,130
514,39
753,27
498,410
501,56
501,147
501,266
767,215
652,410
502,410
502,27
566,357
25,117
480,39
273,303
470,39
662,121
729,228
74,4
75,303
415,236
415,343
415,426
415,100
415,356
415,44
415,348
415,3
415,331
415,329
415,126
415,370
415,445
415,340
415,452
325,236
325,343
325,426
325,100
325,356
325,44
325,348
325,92
325,3
325,329
325,126
325,370
325,331
325,454
325,244
325,452
325,29
325,340
325,78
325,81
325,443
325,124
325,34
744,193
754,331
754,370
754,53
311,357
315,44
435,410
675,315
517,343
1121,126
1121,61
1121,44
341,410
29,44
656,459
671,410
664,215
473,357
474,389
474,147
474,297
474,43
474,318
474,452
474,29
474,100
474,340
474,78
474,81
474,443
474,124
474,34
721,441
718,410
718,27
825,303
411,370
411,454
411,236
411,349
411,124
411,34
411,445
411,340
411,44
411,3
411,452
411,29
411,100
411,78
411,81
411,443
411,147
411,329
411,426
411,343
411,359
411,130
522,435
240,39
243,242
245,4
247,303
873,4
520,194
785,349
785,93
900,259
644,151
823,396
823,310
823,297
823,266
823,132
72,340
72,29
72,452
3,329
3,370
561,236
561,83
496,251
849,435
762,124
762,34
548,349
249,303
249,379
250,303
667,236
667,343
875,3
643,303
694,121
694,315
669,27
676,315
599,349
599,124
599,34
600,359
600,100
508,266
508,56
508,147
508,318
509,27
562,410
960,66
961,456
732,292
553,375
553,192
883,236
554,445
554,124
554,59
554,171
554,246
651,297
651,147
810,426
810,343
811,194
706,124
706,34
706,452
706,226
706,255
706,342
706,349
706,392
706,216
706,206
844,93
890,305
901,141
901,4
777,389
813,315
565,83
814,194
815,19
815,19
815,363
847,343
727,332
727,3
727,234
515,349
515,124
515,34
515,445
516,30
563,410
776,357
647,303
701,85
702,187
702,452
702,354
702,413
760,25
760,429
851,303
720,459
1122,303
850,27
410,329
410,370
866,357
681,194
878,303
927,236
639,251
798,425
798,36
798,335
798,310
798,297
798,396
798,452
798,29
798,100
798,340
798,78
798,81
798,443
798,124
798,34
798,132
798,206
798,441
798,354
798,389
799,141
799,4
931,34
836,61
836,126
836,329
925,194
1004,303
820,449
899,340
899,29
899,78
806,349
821,194
928,205
808,315
880,236
659,310
659,297
659,396
884,3
830,21
831,305
929,205
921,410
840,124
840,34
812,181
812,55
990,236
991,320
991,303
791,216
791,78
819,357
854,3
1007,39
1007,303
1007,141
1007,4
1007,320
1007,236
5,48
1094,343
1094,236
1001,236
1002,236
909,440
909,56
909,266
909,43
1118,303
1110,121
973,320
995,236
1014,320
1018,236
1018,320
1021,303
1051,44
1051,61
1076,456
1076,92
1080,456
1080,92
914,357
1046,27
953,246
953,154
953,150
1104,216
968,4
1067,266
1067,310
1067,297
1067,36
1067,335
1067,425
1067,441
1067,395
40,39
954,195
1059,215
1096,89
1096,268
1056,303
1056,313
1056,459
1037,435
1068,315
1069,236
1099,4
1070,39
843,3
122,303
1101,126
1101,130
1043,27
1048,410
1048,65
1053,216
1033,292
1033,128
1049,303
1050,27
1045,303
1082,456
1083,456
1083,92
1083,244
1084,456
1085,456
1085,92
1088,327
1089,438
1095,346
978,320
980,320
11,48
1081,456
1081,92
986,236
1066,292
1066,186
1066,366
1066,235
1105,151
1106,303
926,85
1128,357
1129,266
1129,297
1129,56
1129,388
1107,124
1107,34
1119,303
1108,459
1042,39
966,307
1100,327
863,147
1060,461
891,66
792,370
792,126
1063,236
1112,216
783,71
902,141
902,4
896,141
896,4
322,96
322,209
1127,92
1109,445
1040,55
1126,124
1111,216
1113,236
1103,303
1123,340
1123,3
1055,147
1055,266
1055,318
1055,389
1055,390
1055,132
1055,452
1055,29
1055,100
1055,340
1055,78
1055,81
1055,443
1055,124
1055,34
207,121
278,303
65,445
65,267
65,95
65,255
262,303
77,354
77,389
77,318
77,388
77,297
77,396
77,132
77,255
77,266
77,310
77,440
77,282
77,390
77,452
77,29
77,100
77,340
77,78
77,81
77,443
77,124
77,34
77,226
77,129
518,389
518,451
518,216
518,124
518,34
518,349
518,452
518,147
518,342
518,255
518,318
518,441
518,266
518,29
518,100
518,340
518,78
518,81
518,443
518,310
518,297
518,420
518,203
518,43
518,388
518,56
518,390
518,440
518,95
518,226
518,86
365,83
937,154
955,56
955,297
955,206
955,154
955,132
955,389
955,168
955,319
955,147
