Drug,Protein
27,453
27,887
27,311
27,326
27,641
27,428
27,764
27,995
27,63
27,505
27,831
27,556
28,499
28,612
28,951
28,611
28,27
28,778
28,769
28,509
28,712
32,841
32,841
32,841
32,841
452,697
452,502
452,754
452,165
452,697
452,754
452,165
510,131
510,131
512,427
512,427
619,710
619,896
619,710
619,896
397,200
397,200
397,200
397,200
397,200
397,200
477,565
477,327
477,565
217,27
217,27
714,331
714,95
246,948
246,948
248,885
248,967
248,427
248,733
248,258
248,885
248,967
248,427
248,733
248,258
248,885
248,967
248,427
248,733
248,258
248,885
248,967
248,427
248,733
248,258
248,885
248,967
248,427
248,733
248,258
248,885
248,967
248,427
248,733
248,258
367,445
367,605
367,306
367,306
367,445
367,605
367,306
367,306
528,178
528,475
528,475
324,966
324,136
324,964
324,136
327,238
327,502
327,557
327,99
327,415
327,317
327,231
327,337
327,233
327,231
327,172
327,75
327,514
327,203
327,984
327,1013
327,740
327,376
327,340
327,118
327,333
327,238
327,557
327,415
327,317
327,231
327,231
327,172
327,75
327,514
327,203
327,984
327,1013
327,740
327,376
327,340
327,118
327,333
327,238
327,502
327,557
327,99
327,415
327,317
327,231
327,337
327,233
327,231
327,172
327,75
327,514
327,203
327,984
327,1013
327,740
327,376
327,340
327,118
327,333
327,238
327,557
327,415
327,317
327,231
327,231
327,172
327,75
327,514
327,203
327,984
327,1013
327,740
327,376
327,340
327,118
327,333
327,238
327,502
327,557
327,99
327,415
327,317
327,231
327,337
327,233
327,231
327,172
327,75
327,514
327,203
327,984
327,1013
327,740
327,376
327,340
327,118
327,333
327,238
327,557
327,415
327,317
327,231
327,231
327,172
327,75
327,514
327,203
327,984
327,1013
327,740
327,376
327,340
327,118
327,333
328,847
328,27
328,847
328,847
328,27
328,847
328,847
328,27
328,847
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
438,784
486,152
486,784
486,874
486,152
486,784
486,874
486,152
486,784
486,874
486,152
486,784
486,874
486,152
486,784
486,874
486,152
486,784
486,874
486,152
486,784
486,874
486,152
486,784
486,874
400,58
400,58
400,58
400,58
405,966
405,136
405,136
13,825
13,210
13,484
13,108
13,797
13,531
13,825
13,210
13,484
13,108
13,797
13,531
13,825
13,210
13,484
13,108
13,797
13,531
17,521
17,521
22,25
22,873
22,174
22,717
22,484
22,886
22,1014
22,1
22,610
22,557
22,487
22,104
22,274
22,116
22,517
22,522
22,781
22,714
22,525
22,122
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
23,841
168,131
168,131
255,193
255,622
255,933
255,622
255,933
255,644
255,999
255,280
255,11
255,193
255,622
255,933
255,644
255,999
255,280
255,11
255,193
255,622
255,933
255,622
255,933
255,644
255,999
255,280
255,11
255,193
255,622
255,933
255,644
255,999
255,280
255,11
426,966
426,136
426,365
426,136
427,289
427,267
427,289
427,267
427,289
427,267
427,289
427,267
433,738
433,200
433,803
433,575
433,178
433,738
433,200
433,803
433,575
433,178
433,738
433,200
433,803
433,575
433,178
433,738
433,200
433,803
433,575
433,178
170,25
170,58
170,190
170,557
170,156
170,116
170,27
170,984
170,740
170,984
459,622
459,933
459,338
459,183
459,974
459,622
459,933
459,183
462,167
489,213
489,130
489,325
489,901
489,239
489,427
489,979
489,733
489,754
489,71
489,258
489,165
489,421
489,817
489,358
489,602
489,213
489,130
489,754
489,165
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
302,231
302,172
302,75
302,514
302,203
302,984
302,1013
302,740
302,376
302,340
302,118
302,333
302,231
302,172
302,75
302,340
302,118
302,333
482,450
482,450
482,450
482,450
106,318
106,318
106,318
106,318
106,318
106,318
259,445
259,605
259,306
259,445
259,605
259,306
265,948
265,948
267,738
267,200
267,803
267,575
267,502
267,909
267,427
267,178
267,733
267,258
267,715
267,577
267,372
267,809
267,909
267,715
267,577
275,92
275,45
275,92
275,45
275,92
275,45
275,92
275,45
126,200
126,131
126,200
126,131
126,200
126,131
126,200
126,131
380,231
380,172
380,75
380,514
380,203
380,984
380,1013
380,740
380,376
380,340
380,118
380,333
380,231
380,172
380,75
380,340
380,118
380,333
380,231
380,172
380,75
380,514
380,203
380,984
380,1013
380,740
380,376
380,340
380,118
380,333
380,231
380,172
380,75
380,340
380,118
380,333
383,967
383,967
388,290
388,165
388,337
388,879
388,384
388,290
388,165
180,788
180,788
180,788
184,697
184,817
184,427
184,358
184,733
184,258
184,427
184,733
184,258
184,427
184,733
184,258
188,612
188,448
188,448
188,612
188,448
188,448
188,612
188,448
188,448
188,612
188,448
188,448
188,612
188,448
188,448
188,612
188,448
188,448
299,891
299,948
299,891
299,891
299,948
299,891
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
123,966
123,923
123,72
123,72
125,213
125,901
125,213
125,213
125,901
125,213
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
464,148
464,103
467,858
467,486
467,858
467,858
467,486
467,858
505,738
505,200
505,178
505,738
505,200
505,178
506,331
506,554
506,144
506,948
506,27
506,948
506,331
506,554
506,144
506,948
506,27
506,948
550,847
550,847
550,847
550,847
550,847
550,847
550,847
550,847
552,847
552,502
552,847
552,847
552,502
552,847
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
49,88
49,965
570,593
570,10
570,487
570,274
570,290
570,517
570,10
570,487
570,274
570,290
570,517
570,593
570,10
570,487
570,274
570,290
570,517
570,10
570,487
570,274
570,290
570,517
570,593
570,10
570,487
570,274
570,290
570,517
570,10
570,487
570,274
570,290
570,517
211,738
211,200
211,178
211,738
211,200
211,178
214,947
214,378
214,114
214,964
214,988
214,20
214,465
214,799
214,947
214,378
214,114
214,964
214,988
214,20
214,947
214,378
214,114
214,964
214,988
214,20
214,465
214,799
214,947
214,378
214,114
214,964
214,988
214,20
226,650
226,650
233,152
233,678
233,2
233,89
233,152
233,2
233,89
233,152
233,678
233,2
233,89
233,152
233,2
233,89
582,950
582,426
582,950
582,426
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
584,231
584,172
584,75
584,514
584,203
584,984
584,1013
584,740
584,376
584,340
584,118
584,333
584,231
584,172
584,75
584,340
584,118
584,333
593,736
593,131
593,772
593,736
593,131
593,736
593,131
593,772
593,736
593,131
593,736
593,131
593,772
593,736
593,131
343,123
343,373
419,738
419,200
419,178
419,200
424,71
424,421
424,71
424,421
120,697
120,427
120,733
120,258
120,427
120,733
120,258
472,131
472,327
472,131
475,123
475,123
475,123
475,123
349,966
349,498
349,136
349,966
349,498
349,136
672,66
672,66
682,486
689,330
689,330
689,330
689,330
689,330
689,330
689,330
689,330
689,330
689,330
499,27
263,763
263,763
691,473
691,270
305,784
305,346
305,784
305,346
690,345
690,534
690,735
690,912
690,345
690,534
690,735
690,912
236,848
236,494
236,870
236,1001
236,79
236,371
236,269
236,101
236,848
236,494
236,870
236,1001
236,79
236,371
236,269
236,101
236,848
236,494
236,870
236,1001
236,79
236,371
236,269
236,101
236,848
236,494
236,870
236,1001
236,79
236,371
236,269
236,101
236,848
236,494
236,870
236,1001
236,79
236,371
236,269
236,101
236,848
236,494
236,870
236,1001
236,79
236,371
236,269
236,101
244,60
244,60
131,213
131,738
131,200
131,736
131,803
131,817
131,325
131,84
131,602
131,575
131,131
131,239
131,201
131,427
131,979
131,178
131,358
131,733
131,754
131,406
131,71
131,953
131,165
131,421
131,135
131,973
131,239
131,165
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
145,784
150,600
150,862
150,826
150,510
150,169
150,316
150,904
150,440
150,26
150,863
150,600
150,862
150,826
150,510
150,169
150,316
150,904
150,440
150,26
150,863
150,600
150,862
150,826
150,510
150,169
150,316
150,904
150,440
150,26
150,863
150,600
150,862
150,826
150,510
150,169
150,316
150,904
150,440
150,26
150,863
573,445
573,605
573,306
573,349
573,445
573,306
146,738
146,200
146,575
146,178
146,738
146,200
146,575
146,178
155,773
155,239
155,754
155,165
155,165
155,773
155,239
155,754
155,165
155,165
155,773
155,239
155,754
155,165
