Gene,Pathway
479,65
484,65
836,65
837,65
972,65
973,65
1053,65
1061,65
1069,65
1082,65
1088,65
1103,65
1109,65
1112,65
1126,65
1161,65
1421,65
1505,65
1568,65
1576,65
1730,65
1943,65
1945,65
2355,65
2356,65
2357,65
2777,65
2844,65
2846,65
2972,65
2976,65
3024,65
3025,65
3026,65
3029,65
3032,65
3033,65
3075,65
3077,65
3425,65
4130,65
4333,65
4687,65
5432,65
836,253
837,253
843,253
1132,253
2072,253
2073,253
2074,253
2477,253
2647,253
2760,253
2772,253
2825,253
2844,253
2846,253
2972,253
2976,253
3879,253
3884,253
3887,253
3889,253
5111,253
5112,253
5113,253
545,14
1082,14
1126,14
1161,14
1172,14
1423,14
1730,14
3024,14
3025,14
3026,14
3033,14
3475,14
3476,14
4206,14
4292,14
4800,14
5433,14
1859,232
2885,232
3174,232
3195,232
4424,232
1082,234
1126,234
1161,234
1865,234
1866,234
1943,234
1945,234
2269,234
2543,234
3023,234
3024,234
3025,234
3026,234
3119,234
4333,234
4687,234
1421,139
1428,139
1469,139
1475,139
1493,139
1576,139
1612,139
1659,139
1664,139
1943,139
1945,139
2354,139
3024,139
3025,139
3026,139
3033,139
3977,139
4687,139
5181,139
1053,318
1069,318
1109,318
1112,318
1859,318
2777,318
3174,318
3195,318
4424,318
1062,7
1283,7
1944,7
1985,7
2860,7
912,94
1899,94
1900,94
1901,94
2860,94
3326,94
4168,94
5422,94
479,92
484,92
488,92
575,92
577,92
912,92
936,92
1053,92
1062,92
1069,92
1109,92
1112,92
1283,92
1573,92
1886,92
1899,92
1900,92
1901,92
2063,92
2108,92
2154,92
2207,92
2272,92
2336,92
2777,92
2835,92
177,36
210,36
754,36
827,36
828,36
2351,36
2406,36
3842,36
3843,36
4104,36
274,214
294,214
740,214
753,214
1363,214
2019,214
3522,214
3866,214
4698,214
4808,214
831,21
1609,21
2004,21
2836,21
4210,21
4565,21
294,134
540,134
722,134
723,134
724,134
728,134
734,134
736,134
741,134
743,134
744,134
745,134
748,134
750,134
790,134
2015,134
2016,134
2017,134
2018,134
2445,134
3174,134
3195,134
4143,134
4184,134
4424,134
5048,134
492,107
549,107
553,107
556,107
560,107
562,107
564,107
719,107
1352,107
1391,107
1644,107
2231,107
2644,107
2645,107
2646,107
2648,107
2649,107
2650,107
2652,107
2653,107
2654,107
2656,107
2657,107
2658,107
2660,107
2661,107
2662,107
2663,107
2664,107
2665,107
2666,107
2667,107
2669,107
2765,107
2799,107
2850,107
2935,107
3031,107
3039,107
3045,107
3058,107
3104,107
3117,107
3184,107
3437,107
3879,107
3884,107
3887,107
3889,107
4432,107
4433,107
4948,107
5247,107
574,141
775,141
1700,141
1701,141
1703,141
1724,141
1776,141
2285,141
2289,141
2542,141
2565,141
2704,141
2705,141
2706,141
2776,141
4950,141
5413,141
1,213
214,213
239,213
249,213
298,213
330,213
404,213
466,213
467,213
476,213
738,213
780,213
826,213
975,213
990,213
1133,213
1180,213
1537,213
1624,213
1646,213
1651,213
1663,213
1705,213
1851,213
1852,213
1854,213
1864,213
1887,213
2006,213
2113,213
