Gene,Protein
2986,779
3194,94
4382,89
2534,768
2909,17
1833,132
1084,753
2883,112
2202,62
3731,923
3857,369
2558,544
809,23
2691,223
1674,559
381,879
2222,678
1430,731
3189,370
187,257
240,1006
2445,940
3802,470
1115,86
3903,828
3444,860
3395,778
1266,600
602,507
1037,167
3855,806
2952,761
4432,791
748,423
2125,36
1701,564
379,337
2412,698
3210,47
2469,692
1753,975
4519,321
3920,662
2228,959
2006,247
1836,174
3968,886
4460,710
93,773
3146,45
4042,450
3790,780
4510,280
688,649
3785,789
4395,748
4521,356
3648,639
1752,483
4147,440
1063,251
892,1005
1017,242
2464,197
3058,336
1572,634
2249,55
1700,983
741,515
920,436
4950,591
1436,172
1381,220
724,240
2167,647
3901,368
1118,154
1051,664
5434,187
2044,406
4673,502
3028,986
4261,894
2235,627
479,77
2255,566
4506,622
1939,734
3612,147
4210,547
4548,2
1404,32
3698,988
1077,326
3850,906
2467,14
2142,74
2169,663
2631,679
4032,889
3985,617
2466,850
5023,744
3196,42
2533,33
2355,910
1131,400
3819,92
929,516
780,845
2833,389
3623,392
831,196
2109,324
5034,822
378,384
1403,29
2865,905
3559,846
3719,997
1414,520
2583,970
3085,672
641,428
918,707
2795,660
1564,553
4377,244
190,501
253,381
1621,633
1451,333
5247,348
1377,653
3482,377
1356,78
1405,711
203,101
3693,267
3418,115
2969,169
4057,88
2804,929
4323,784
3961,312
3255,814
730,955
2844,842
484,935
2154,667
119,225
2953,385
2503,945
2679,974
4056,965
5048,812
3425,675
2071,722
4810,701
1327,134
829,123
3036,686
2754,512
27,573
760,404
4290,462
5564,161
2240,48
5033,958
1802,287
3661,563
1691,344
6,241
2705,331
4464,182
4311,188
2457,730
1825,550
1256,862
2015,214
1395,493
1576,536
1730,195
3675,749
1022,571
1819,603
3565,966
4016,488
2258,338
2769,306
69,345
5051,160
1785,415
1440,514
5519,912
3197,858
3169,832
4927,96
1612,574
4565,576
5507,254
247,810
1797,790
2422,702
990,279
3400,700
2458,652
1863,824
3445,446
3854,265
1693,557
3098,751
3639,584
1814,166
3858,847
3035,156
4325,314
364,738
351,641
1025,522
3879,856
2406,268
1082,926
4045,186
1776,398
2043,425
2655,519
416,39
3853,19
745,771
1384,612
873,219
3566,136
2468,124
1382,61
3163,127
3833,405
3852,595
4333,737
774,0
2848,34
1907,270
1537,297
2704,628
3039,155
2776,31
