Drug,Disease,Label
28.0,39.0,1
32.0,329.0,1
452.0,192.0,1
510.0,303.0,1
512.0,442.0,1
397.0,55.0,1
397.0,125.0,1
397.0,181.0,1
477.0,147.0,1
246.0,4.0,1
248.0,303.0,1
327.0,38.0,1
328.0,216.0,1
1116.0,55.0,1
438.0,266.0,1
438.0,388.0,1
438.0,56.0,1
438.0,310.0,1
438.0,297.0,1
438.0,452.0,1
438.0,29.0,1
438.0,100.0,1
438.0,340.0,1
438.0,78.0,1
438.0,81.0,1
438.0,443.0,1
438.0,124.0,1
438.0,34.0,1
486.0,27.0,1
486.0,341.0,1
405.0,147.0,1
567.0,121.0,1
17.0,233.0,1
23.0,3.0,1
23.0,370.0,1
23.0,329.0,1
255.0,435.0,1
255.0,303.0,1
427.0,230.0,1
427.0,326.0,1
433.0,236.0,1
433.0,83.0,1
459.0,303.0,1
462.0,236.0,1
587.0,147.0,1
489.0,256.0,1
302.0,236.0,1
304.0,48.0,1
106.0,233.0,1
259.0,303.0,1
265.0,303.0,1
267.0,303.0,1
126.0,442.0,1
180.0,426.0,1
180.0,343.0,1
299.0,236.0,1
123.0,460.0,1
464.0,292.0,1
464.0,186.0,1
464.0,366.0,1
464.0,235.0,1
505.0,315.0,1
588.0,303.0,1
49.0,342.0,1
49.0,226.0,1
49.0,95.0,1
49.0,354.0,1
49.0,413.0,1
570.0,410.0,1
570.0,27.0,1
59.0,61.0,1
59.0,44.0,1
59.0,454.0,1
59.0,244.0,1
214.0,303.0,1
214.0,277.0,1
226.0,121.0,1
226.0,315.0,1
233.0,17.0,1
584.0,426.0,1
584.0,343.0,1
340.0,410.0,1
343.0,410.0,1
475.0,39.0,1
349.0,27.0,1
672.0,303.0,1
682.0,48.0,1
689.0,413.0,1
689.0,147.0,1
689.0,100.0,1
689.0,310.0,1
689.0,297.0,1
689.0,370.0,1
263.0,303.0,1
713.0,215.0,1
560.0,39.0,1
236.0,147.0,1
236.0,389.0,1
236.0,318.0,1
244.0,4.0,1
131.0,452.0,1
145.0,370.0,1
145.0,329.0,1
145.0,236.0,1
145.0,3.0,1
145.0,445.0,1
145.0,340.0,1
145.0,452.0,1
145.0,100.0,1
145.0,44.0,1
145.0,426.0,1
145.0,343.0,1
145.0,130.0,1
145.0,359.0,1
573.0,410.0,1
161.0,303.0,1
444.0,39.0,1
576.0,234.0,1
195.0,452.0,1
195.0,206.0,1
295.0,343.0,1
295.0,426.0,1
446.0,426.0,1
632.0,426.0,1
632.0,343.0,1
635.0,197.0,1
637.0,39.0,1
208.0,410.0,1
354.0,27.0,1
359.0,27.0,1
359.0,30.0,1
359.0,31.0,1
749.0,121.0,1
710.0,55.0,1
339.0,410.0,1
339.0,364.0,1
339.0,175.0,1
752.0,435.0,1
535.0,39.0,1
628.0,268.0,1
618.0,303.0,1
197.0,315.0,1
523.0,410.0,1
62.0,44.0,1
62.0,370.0,1
62.0,454.0,1
62.0,236.0,1
62.0,445.0,1
62.0,340.0,1
62.0,3.0,1
62.0,452.0,1
62.0,100.0,1
62.0,147.0,1
62.0,329.0,1
62.0,426.0,1
62.0,343.0,1
62.0,359.0,1
62.0,130.0,1
422.0,386.0,1
422.0,197.0,1
163.0,35.0,1
163.0,26.0,1
0.0,343.0,1
416.0,343.0,1
416.0,426.0,1
416.0,100.0,1
416.0,356.0,1
416.0,61.0,1
416.0,44.0,1
416.0,348.0,1
416.0,3.0,1
416.0,236.0,1
416.0,329.0,1
416.0,331.0,1
416.0,126.0,1
416.0,370.0,1
416.0,305.0,1
525.0,359.0,1
525.0,100.0,1
761.0,318.0,1
564.0,39.0,1
287.0,236.0,1
287.0,343.0,1
6.0,354.0,1
6.0,310.0,1
6.0,452.0,1
6.0,29.0,1
6.0,100.0,1
6.0,340.0,1
6.0,78.0,1
6.0,81.0,1
6.0,443.0,1
6.0,124.0,1
6.0,34.0,1
6.0,318.0,1
6.0,413.0,1
6.0,201.0,1
6.0,389.0,1
6.0,95.0,1
6.0,226.0,1
6.0,255.0,1
6.0,86.0,1
6.0,82.0,1
6.0,342.0,1
6.0,132.0,1
399.0,4.0,1
604.0,4.0,1
707.0,305.0,1
677.0,435.0,1
266.0,303.0,1
344.0,410.0,1
764.0,147.0,1
764.0,150.0,1
764.0,154.0,1
764.0,253.0,1
764.0,0.0,1
764.0,38.0,1
209.0,303.0,1
37.0,327.0,1
403.0,147.0,1
408.0,147.0,1
414.0,236.0,1
414.0,343.0,1
414.0,426.0,1
414.0,100.0,1
414.0,44.0,1
414.0,348.0,1
414.0,3.0,1
414.0,329.0,1
414.0,126.0,1
414.0,370.0,1
414.0,331.0,1
414.0,452.0,1
414.0,147.0,1
414.0,130.0,1
19.0,329.0,1
205.0,195.0,1
159.0,236.0,1
230.0,27.0,1
336.0,121.0,1
280.0,341.0,1
42.0,303.0,1
42.0,410.0,1
318.0,195.0,1
257.0,303.0,1
748.0,85.0,1
864.0,410.0,1
186.0,303.0,1
144.0,303.0,1
269.0,303.0,1
269.0,313.0,1
210.0,303.0,1
212.0,84.0,1
212.0,205.0,1
172.0,459.0,1
193.0,459.0,1
503.0,215.0,1
874.0,3.0,1
716.0,435.0,1
716.0,27.0,1
330.0,234.0,1
606.0,234.0,1
331.0,3.0,1
331.0,234.0,1
646.0,410.0,1
526.0,236.0,1
189.0,356.0,1
189.0,126.0,1
189.0,370.0,1
189.0,329.0,1
189.0,100.0,1
189.0,236.0,1
189.0,426.0,1
189.0,343.0,1
189.0,44.0,1
189.0,454.0,1
189.0,445.0,1
189.0,340.0,1
189.0,3.0,1
189.0,452.0,1
189.0,29.0,1
189.0,78.0,1
189.0,81.0,1
189.0,443.0,1
189.0,124.0,1
189.0,34.0,1
189.0,216.0,1
189.0,147.0,1
189.0,359.0,1
189.0,130.0,1
692.0,266.0,1
692.0,56.0,1
692.0,388.0,1
692.0,420.0,1
692.0,203.0,1
692.0,43.0,1
692.0,310.0,1
692.0,297.0,1
692.0,147.0,1
692.0,318.0,1
692.0,132.0,1
617.0,286.0,1
312.0,357.0,1
649.0,151.0,1
649.0,459.0,1
697.0,410.0,1
699.0,3.0,1
699.0,349.0,1
699.0,124.0,1
699.0,34.0,1
699.0,445.0,1
699.0,452.0,1
699.0,29.0,1
699.0,100.0,1
699.0,340.0,1
699.0,78.0,1
699.0,81.0,1
699.0,443.0,1
699.0,147.0,1
699.0,388.0,1
700.0,310.0,1
700.0,389.0,1
700.0,132.0,1
310.0,357.0,1
842.0,254.0,1
338.0,315.0,1
730.0,410.0,1
731.0,303.0,1
1.0,192.0,1
765.0,44.0,1
547.0,310.0,1
547.0,297.0,1
547.0,396.0,1
547.0,318.0,1
547.0,354.0,1
547.0,389.0,1
547.0,132.0,1
859.0,63.0,1
859.0,200.0,1
350.0,343.0,1
666.0,357.0,1
389.0,39.0,1
608.0,236.0,1
55.0,27.0,1
270.0,4.0,1
439.0,43.0,1
439.0,56.0,1
439.0,310.0,1
439.0,297.0,1
439.0,132.0,1
439.0,389.0,1
439.0,266.0,1
439.0,147.0,1
439.0,187.0,1
625.0,236.0,1
885.0,236.0,1
156.0,26.0,1
779.0,206.0,1
779.0,318.0,1
105.0,236.0,1
805.0,147.0,1
805.0,266.0,1
832.0,154.0,1
832.0,96.0,1
832.0,100.0,1
773.0,48.0,1
638.0,4.0,1
457.0,303.0,1
213.0,303.0,1
285.0,303.0,1
1195.0,121.0,1
903.0,3.0,1
119.0,303.0,1
83.0,410.0,1
187.0,370.0,1
611.0,303.0,1
898.0,55.0,1
108.0,233.0,1
108.0,100.0,1
770.0,270.0,1
770.0,29.0,1
770.0,451.0,1
668.0,100.0,1
670.0,410.0,1
860.0,92.0,1
196.0,410.0,1
658.0,297.0,1
894.0,55.0,1
788.0,341.0,1
696.0,236.0,1
540.0,236.0,1
837.0,56.0,1
572.0,27.0,1
907.0,54.0,1
907.0,150.0,1
907.0,101.0,1
923.0,100.0,1
151.0,303.0,1
507.0,370.0,1
507.0,236.0,1
507.0,445.0,1
507.0,340.0,1
