Gene1,Gene2,Resource
591,1712,literature
1505,4242,signaling
719,3437,metabolic
4560,4829,literature
1059,2600,literature
2599,4938,binary;literature
3063,4296,literature
2456,4258,literature
1681,5546,complexes
3002,3935,complexes
981,1998,literature;signaling
2803,4193,literature;kinase
3365,3725,literature;signaling
182,2716,literature
3694,4414,literature
1134,5464,signaling
665,4942,literature;signaling
97,1389,complexes
34,3905,literature
926,3784,complexes;literature
3344,4322,complexes
1631,1631,literature
2220,2353,literature;signaling
3073,5071,literature;signaling
2098,2690,literature
480,1533,binary
1957,2596,literature
2107,3876,literature;signaling
3929,4495,complexes
1345,2843,binary
2453,2671,literature
643,2520,literature
1974,2692,literature
2969,5353,binary;literature;signaling
2567,2567,literature
3555,4674,binary
2492,5063,binary
3210,4453,literature
1057,1529,literature
3244,4254,binary
1622,5426,literature
2577,2690,literature
1832,2314,binary
3285,4612,literature
4410,4579,literature
730,3922,literature
3235,4511,binary
1833,4994,literature;signaling
2425,2425,binary;literature
1810,4325,literature;signaling
3125,4747,binary;literature;signaling
1030,1064,literature;signaling
1404,4110,literature
1325,4915,literature
2029,3407,kinase
724,1015,regulatory
2453,3369,kinase
1296,3787,literature
2518,3910,complexes;literature
1644,2644,metabolic
1015,3434,literature;signaling;kinase
1546,3198,literature;signaling
2559,4325,literature
4493,4980,literature
3962,4110,literature;signaling
3439,4309,literature
1485,3180,binary
52,4725,literature;signaling
3830,3830,literature
924,1903,literature
4194,5399,literature
2534,3876,literature;signaling
3645,4321,literature
2741,3733,regulatory
4225,5228,regulatory
2611,4027,literature
1833,5452,literature;signaling;kinase
2200,5146,literature
2869,3743,signaling
286,3694,literature
1780,5559,signaling
2119,5129,literature
2844,5112,metabolic
1015,1833,kinase
2492,4827,binary
1672,1672,literature
3054,5235,complexes;literature
4441,5481,literature
5434,5434,literature
2019,4653,literature
4269,4404,literature;signaling
348,2468,literature
316,3671,literature
95,252,literature
5167,5423,literature
545,2304,binary
2432,3496,binary;literature;signaling
3118,3788,literature;signaling
4315,4938,binary;literature
841,2002,literature
634,3397,literature;signaling
2086,2396,literature
1006,4679,kinase
892,3366,literature
3752,4217,literature;signaling
1121,1129,literature;signaling
2978,4346,complexes
1572,2399,literature;signaling
2384,2600,literature
1182,5253,complexes
2188,4864,literature;signaling
1057,4084,literature;signaling
3689,3735,literature
794,2210,complexes
65,647,kinase
3786,4548,complexes
1023,4145,literature
2655,5218,literature
1692,3167,literature;signaling
866,4640,metabolic
2029,3397,kinase
1058,2027,literature
681,3240,literature;signaling
260,4404,literature
4120,5180,regulatory
2072,2308,literature;signaling
301,746,binary
1981,2693,literature
2226,2865,literature
2611,2824,literature;signaling
583,1546,literature;signaling
74,1930,literature;signaling
4327,4327,literature
4120,4270,regulatory
1023,2222,literature;signaling
1945,2269,metabolic
3884,5113,metabolic
5136,5136,literature
2984,5025,literature
1181,3965,literature
2575,4395,metabolic
1369,3183,binary
1684,3617,signaling
2123,3681,literature;signaling
1026,1780,literature
1920,2481,complexes;literature
2722,4756,kinase
2610,3218,binary;literature;kinase
4230,4640,complexes
2179,5502,complexes;literature;signaling
1920,3255,literature
2521,5357,literature;signaling
1780,2032,literature
933,3636,binary;literature;signaling
158,5032,literature;signaling
1006,1017,literature;signaling
2652,2654,complexes
547,3451,kinase
865,3112,literature
799,1313,literature
2426,4716,literature
3790,4965,literature
2240,2244,literature;signaling
2187,5026,literature;signaling
3283,4564,literature;signaling
650,2193,literature;signaling
50,3197,literature
125,4826,literature;signaling
583,4166,literature;signaling
4957,5055,metabolic
2345,3995,literature
1002,1781,binary;literature;signaling
2426,3439,literature;signaling
608,1746,binary
70,2908,kinase
1253,4251,binary
997,4255,regulatory
1086,3962,literature
1296,1832,literature
655,692,literature;signaling
240,1144,kinase
2250,2251,literature
1897,2111,binary;literature;signaling
1214,2188,literature;signaling
2802,3153,complexes
2771,4011,literature;signaling
4898,5287,complexes;literature
1062,4168,metabolic
4264,5362,literature
3846,5110,binary;literature;signaling
2746,3699,literature
1389,1622,complexes
326,4170,binary;literature;signaling
1004,3688,complexes;literature
2826,3094,literature
1218,2425,literature;signaling
1780,3785,literature;signaling
2271,4326,binary;literature;signaling
3842,3845,binary;literature
2314,5004,binary
2692,2826,literature
2314,4606,binary
2930,2930,binary;literature
189,2633,complexes
2209,4080,literature;signaling;kinase
1780,3252,literature
3435,4102,kinase
2696,5523,literature
2728,3059,literature;signaling
3399,3419,kinase
1207,2952,literature;signaling
1011,3153,literature;signaling
186,480,binary
1149,5299,literature
1245,2238,literature;signaling
2226,2787,binary;literature
1673,4562,literature
4152,4793,literature
251,4122,regulatory
47,3746,literature
3088,3088,literature
