Pathway1,Pathway2
197,65
197,253
197,14
197,232
197,234
197,139
197,318
197,7
197,94
197,92
197,36
197,214
197,21
197,134
197,107
197,141
197,213
197,270
197,313
197,87
197,324
197,78
197,23
197,262
197,156
197,208
197,316
197,145
197,112
197,331
197,22
197,15
197,285
197,221
197,10
197,308
197,3
197,17
197,278
197,299
197,320
197,47
197,246
197,100
197,196
197,330
197,186
197,99
197,58
197,57
197,202
197,8
197,157
197,45
197,18
197,74
197,247
197,38
197,86
197,113
197,9
197,123
197,20
197,249
197,276
197,11
197,315
197,191
197,43
197,85
197,128
197,189
197,220
197,238
197,158
197,226
197,89
197,303
197,265
197,91
197,251
197,292
197,241
197,327
197,326
268,264
268,235
268,233
268,164
268,5
268,180
268,175
268,54
268,295
268,228
268,150
268,309
268,273
268,129
268,135
268,254
268,60
268,121
268,30
268,182
268,194
179,35
179,277
179,54
179,228
179,150
179,88
179,106
179,152
179,118
179,182
187,107
187,277
187,233
187,258
187,114
187,176
187,169
187,67
187,150
187,309
187,117
187,229
291,213
291,164
193,107
193,277
193,233
193,176
193,169
193,150
193,309
193,272
193,229
109,107
109,319
109,277
109,235
109,46
109,233
109,54
109,114
109,176
109,169
109,150
109,117
109,240
228,65
228,235
228,46
228,280
228,190
228,177
228,175
228,54
228,295
228,150
228,254
228,60
228,152
228,182
228,108
228,272
260,190
260,175
260,54
260,295
260,228
260,150
260,309
260,273
260,60
260,30
260,275
260,106
260,152
260,182
203,222
203,143
203,138
203,237
203,146
203,75
219,107
219,274
219,227
219,277
219,233
219,54
219,176
219,169
219,173
219,150
219,117
235,119
235,175
235,54
235,150
235,309
235,68
16,107
16,277
16,233
16,176
16,169
16,67
16,173
16,150
16,273
16,88
16,68
173,5
173,119
173,263
173,67
173,135
69,107
69,145
69,277
69,233
69,258
69,114
69,169
69,150
69,131
132,235
132,190
132,150
132,215
132,31
140,235
140,190
140,176
140,150
140,60
140,31
140,201
140,240
233,235
233,119
233,150
233,279
233,217
281,253
281,107
281,235
281,103
281,164
281,295
281,50
322,235
322,62
322,233
322,173
322,228
322,304
322,279
322,240
142,286
142,173
142,296
142,88
142,216
142,64
142,39
142,152
142,31
142,118
142,201
142,182
142,25
142,204
142,68
142,255
284,247
284,277
284,235
284,190
284,175
284,295
284,228
284,150
284,106
284,201
284,182
284,68
284,240
126,319
126,235
126,190
126,175
126,54
126,228
126,150
126,135
126,106
126,304
126,68
240,235
240,60
240,30
164,92
164,62
164,233
164,228
164,150
164,48
164,129
164,279
164,291
164,174
164,195
6,233
6,54
6,169
6,228
6,150
6,152
6,31
6,68
6,255
6,133
6,59
6,96
301,277
301,235
301,233
301,190
301,175
301,169
301,67
301,295
301,228
301,150
301,106
301,152
301,201
301,68
301,240
62,235
62,322
62,233
62,228
62,60
62,30
62,304
62,240
314,235
314,233
314,180
314,295
314,228
314,150
314,309
314,129
314,135
314,254
314,60
314,30
314,240
261,227
261,264
261,235
261,280
261,190
261,175
261,54
261,67
261,228
261,150
261,182
261,108
261,240
261,49
261,250
261,260
261,126
261,137
261,289
328,65
328,253
328,107
328,330
328,264
328,198
328,295
328,150
328,48
328,135
328,39
328,272
328,243
328,61
328,229
328,310
289,277
289,235
289,233
289,190
289,175
289,54
289,150
289,106
289,152
289,118
289,182
289,108
60,235
60,5
60,119
60,175
60,228
60,309
60,121
60,240
82,190
82,150
82,275
82,152
82,31
82,204
82,240
137,235
137,190
137,175
137,54
137,176
137,173
137,228
137,150
137,309
137,88
137,152
137,182
137,25
137,68
280,235
280,5
280,258
280,182
280,255
280,240
212,54
212,95
212,138
212,170
212,154
64,235
64,233
64,176
64,228
64,88
64,216
64,152
64,31
64,204
0,235
0,131
319,286
181,235
181,5
181,309
181,240
31,235
31,190
31,176
31,152
90,235
90,150
90,106
90,152
90,31
90,182
293,265
293,319
293,286
293,235
293,175
293,173
293,150
293,152
293,31
293,118
293,182
293,148
169,299
169,277
169,252
169,150
169,243
169,193
169,69
169,16
275,30
275,240
55,235
55,233
55,175
55,54
55,228
55,309
55,135
55,97
55,49
55,250
103,235
103,233
103,228
103,150
103,296
103,41
309,235
