ID,Disease
0,D001254
1,D017497
2,D010282
3,D009103
4,D003924
5,D038921
6,D016715
7,D044905
8,D006712
9,D018227
10,D054067
11,D003294
12,D007014
13,D006391
14,D009081
15,D003919
16,D001005
17,D010505
18,D004476
19,D056731
20,D001478
21,D020246
22,D054069
23,D058495
24,D020821
25,D004393
26,D003480
27,D003863
28,D015212
29,D008224
30,D009771
31,D001068
32,D018901
33,D001477
34,D054218
35,D000306
36,D009959
37,D004535
38,D014402
39,D005705
40,D016111
41,D020790
42,D049932
43,D010190
44,D003093
45,D009136
46,D052496
47,D054078
48,D000437
49,D013132
50,D000795
51,D012497
52,D006946
53,D005871
54,D000172
55,D010024
56,D015179
57,D002780
58,D007714
59,D054437
60,D016135
61,D003424
62,D018382
63,D065766
64,D016657
65,D005879
66,D007006
67,D043204
68,D039141
69,D010438
70,D014923
71,D005776
72,D055577
73,D016649
74,D057130
75,D000326
76,D054975
77,D006223
78,D020522
79,D018296
80,D020820
81,D016411
82,D018197
83,D001987
84,D020513
85,D000544
86,D012175
87,D052517
88,D014929
89,D008375
90,D054438
91,D003398
92,D016553
93,D009190
94,D014718
95,D012512
96,D006105
97,D005168
98,D019294
99,D019871
100,D009182
101,D010911
102,D005600
103,D006211
104,D006954
105,D054220
106,D017827
107,D016738
108,D005955
109,D012174
110,D044542
111,D005489
112,D058490
113,D018636
114,D053358
115,D017689
116,D058494
117,D015459
118,D054463
119,D004828
120,D015223
121,D010300
122,D006995
123,D006011
124,D054198
125,D005271
126,D025241
127,D017096
128,D056693
129,D008527
130,D001528
131,D016750
132,D002583
133,D009800
134,D008363
135,D006938
136,D008607
137,D018981
138,D029593
139,D003317
140,D007946
141,D003922
142,D004374
143,D007007
144,D020176
145,D003117
146,D007966
147,D001943
148,D018902
149,D009472
150,D018273
151,D015228
152,D008342
153,D015477
154,D002292
155,D030401
156,D017696
157,D012035
158,D020754
159,D003414
160,D007644
161,D056830
162,D005633
163,D014849
164,D028921
165,D012507
166,D009765
167,D005158
168,D005185
169,D005878
170,D053306
171,D017681
172,D002607
173,D000071700
174,D013683
175,D017092
176,D007965
177,D052556
178,D003550
179,D055673
180,D020642
181,D010001
182,D020143
183,D017241
184,D016116
185,D010518
186,D020163
187,D002294
188,D004480
189,D009085
190,D002819
191,D006934
192,D002386
193,D014846
194,D014899
195,D006527
196,D000309
197,D007889
198,D058405
199,D020162
200,D009471
201,D006828
202,D008268
203,D018281
204,D007926
205,D020514
206,D005910
207,D013661
208,D009394
209,D010022
210,D029461
211,D001321
212,D052120
213,D013584
214,D011649
215,D065627
216,D009101
217,D056784
218,D055947
219,D020817
220,D013920
221,D009303
222,D008209
223,D020167
224,D005693
225,D010013
226,D018232
227,D010214
228,D009134
229,D017237
230,D003409
231,D007888
232,D010412
233,D014820
234,D000690
235,D056807
236,D001249
237,D006010
238,D006933
239,D006646
240,D020288
241,D020165
242,D007918
243,D007863
244,D015267
245,D004613
246,D046152
247,D007018
248,D016403
249,D006849
250,D004832
251,D007177
252,D017825
253,D018207
254,D003554
255,D009447
256,D006432
257,D020914
258,D003410
259,D016532
260,D016538
261,D020325
262,D016471
263,D015325
264,D014067
265,D038901
266,D013274
267,D011087
268,D010661
269,D007625
270,D008545
271,D006627
272,D055728
273,D029242
274,D016114
275,D006013
276,D018208
277,D003928
278,D000130
279,D020329
280,D010580
281,D054880
282,D008654
283,D058249
284,D007849
285,D005645
286,D003930
287,D012468
288,D015799
289,D052536
290,D053549
291,D010195
292,D022124
293,D000474
294,D007184
295,D003635
296,D003123
297,D002289
298,D014983
299,D031845
300,D007566
301,D002813
302,D011546
303,D006973
304,D000141
305,D012859
306,D004660
307,D056587
308,D017204
309,D017074
310,D055752
311,D013631
312,D007873
313,D003324
314,D019305
315,D020734
316,D016537
317,D002636
318,D001749
319,D010534
320,D009497
321,D58494
322,D015432
323,D056685
324,D020294
325,D008232
326,D050031
327,D020152
328,D015324
329,D013167
330,D009084
331,D013700
332,D002547
333,D057174
334,D000848
335,D007822
336,D058627
337,D016109
338,D009477
339,D003966
340,D015451
341,D003929
342,D009396
343,D003876
344,D013341
345,D006111
346,D063730
347,D003057
348,D029503
349,D015470
350,D006015
351,D004831
352,D006349
353,D009072
354,D013736
355,D006929
356,D000312
357,D043183
358,D050030
359,D010916
360,D009221
361,D005097
362,D050336
363,D046150
364,D017094
365,D006932
366,D020159
367,D017499
368,D001260
369,D002276
370,D001171
371,D018500
372,D015419
373,D007418
374,D006009
375,D003555
376,D016864
377,D016117
378,D017093
379,D013771
380,D008059
381,D052456
382,D059446
383,D019082
384,D022861
385,D000592
386,D011629
387,D009456
388,D006528
389,D010051
390,D016889
391,D006960
392,D006394
393,D028922
394,D058631
395,D008202
396,D004938
397,D006008
398,D002280
399,D001816
400,D049310
401,D000075262
402,D005198
403,D056735
404,D031249
405,D005171
406,D005351
407,D050197
408,D016115
409,D011547
410,D012559
411,D010009
412,D011125
413,D002822
414,D006012
415,D020512
416,D050937
417,D020961
418,D049288
419,D006966
420,D005706
421,D006086
422,D020178
423,D016518
424,D009087
425,D009062
426,D017449
427,D006623
428,D013921
429,D009634
430,D053632
431,D059327
432,D019578
433,D008072
434,D016142
435,D001289
436,D023961
437,D006250
438,D014842
439,D018234
440,D012516
441,D013964
442,D065768
443,D002051
444,D057973
445,D015464
446,D005953
447,D049950
448,D008052
449,D010235
450,D054971
451,D012514
452,D006689
453,D006014
454,D010488
455,D012640
456,D000361
457,D013576
458,D017243
459,D006937
460,D002178
461,D006816
