ID,Gene,ncbi,RSG
0,hsa10,10,NG_012246.1
1,hsa100,100,NG_007385.1
2,hsa1000,1000,NG_011959.1
3,hsa10000,10000,NG_029764.2
4,hsa10002,10002,NG_009113.2
5,hsa10006,10006,NG_030025.1
6,hsa10008,10008,NG_011833.1
7,hsa10009,10009,NG_021334.1
8,hsa1001,1001,NG_009096.1
9,hsa10011,10011,NG_031847.1
10,hsa10013,10013,NG_012560.1
11,hsa100133941,100133941,NG_041768.1
12,hsa10015,10015,NG_033961.1
13,hsa10018,10018,NG_029006.1
14,hsa10019,10019,NG_021216.1
15,hsa10020,10020,NG_008246.1
16,hsa10021,10021,NG_009063.1
17,hsa100287932,100287932,NG_032850.2
18,hsa10038,10038,NG_033959.1
19,hsa10044,10044,NG_030563.1
20,hsa10049,10049,NG_032573.1
21,hsa100506658,100506658,NG_028291.1
22,hsa100507436,100507436,NG_034139.1
23,hsa10051,10051,NG_050987.1
24,hsa10058,10058,NG_032110.1
25,hsa10059,10059,NG_012219.1
26,hsa10060,10060,NG_012819.1
27,hsa10062,10062,NG_030392.1
28,hsa10068,10068,NG_029021.1
29,hsa1007,1007,NG_046968.1
30,hsa10071,10071,NG_053126.1
31,hsa10072,10072,NG_032068.1
32,hsa10075,10075,NG_016261.2
33,hsa10076,10076,NG_033965.1
34,hsa10083,10083,NG_011883.2
35,hsa10084,10084,NG_015967.1
36,hsa10087,10087,NG_029492.1
37,hsa1009,1009,NG_029491.2
38,hsa10095,10095,NG_055676.1
39,hsa10098,10098,NG_046902.1
40,hsa10102,10102,NG_016971.1
41,hsa10110,10110,NG_029448.2
42,hsa10111,10111,NG_021151.2
43,hsa1012,1012,NG_052819.1
44,hsa10121,10121,NG_011901.1
45,hsa10125,10125,NG_023268.2
46,hsa10126,10126,NG_041804.1
47,hsa10128,10128,NG_008247.1
48,hsa1013,1013,NG_012055.1
49,hsa10131,10131,NG_033088.1
50,hsa10133,10133,NG_012876.1
51,hsa10134,10134,NG_023231.1
52,hsa10142,10142,NG_011623.1
53,hsa10153,10153,NG_050962.1
54,hsa10154,10154,NG_050648.1
55,hsa10155,10155,NG_046945.1
56,hsa10157,10157,NG_008140.2
57,hsa10159,10159,NG_008874.1
58,hsa10164,10164,NG_029801.1
59,hsa10165,10165,NG_012247.2
60,hsa1017,1017,NG_034014.1
61,hsa10174,10174,NG_030586.1
62,hsa10178,10178,NG_013249.1
63,hsa10181,10181,NG_030403.1
64,hsa10188,10188,NG_029779.1
65,hsa1019,1019,NG_007484.2
66,hsa10194,10194,NG_032047.1
67,hsa10195,10195,NG_008924.2
68,hsa102,102,NG_033876.2
69,hsa1020,1020,NG_042167.1
70,hsa1021,1021,NG_015888.1
71,hsa10210,10210,NG_017050.1
72,hsa10212,10212,NG_029055.1
73,hsa10214,10214,NG_012561.1
74,hsa10215,10215,NG_011834.1
75,hsa10216,10216,NG_008248.2
76,hsa10226,10226,NG_028080.1
77,hsa10231,10231,NG_030437.1
78,hsa10235,10235,NG_007574.1
79,hsa10238,10238,NG_033092.1
80,hsa10243,10243,NG_008875.1
81,hsa10245,10245,NG_015968.2
82,hsa1025,1025,NG_033942.1
83,hsa10253,10253,NG_050650.1
84,hsa10256,10256,NG_047117.1
85,hsa1026,1026,NG_009364.1
86,hsa10262,10262,NG_032777.1
87,hsa10269,10269,NG_008695.1
88,hsa1027,1027,NG_016341.1
89,hsa10270,10270,NG_046946.1
90,hsa10273,10273,NG_034141.1
91,hsa10276,10276,NG_050652.1
92,hsa1028,1028,NG_008022.1
93,hsa10280,10280,NG_029945.2
94,hsa10285,10285,NG_008284.1
95,hsa1029,1029,NG_007485.1
96,hsa10290,10290,NG_051022.1
97,hsa10291,10291,NG_032902.1
98,hsa10293,10293,NG_046695.1
99,hsa10295,10295,NG_033011.1
100,hsa10297,10297,NG_055243.1
101,hsa10298,10298,NG_047118.1
102,hsa103,103,NG_011844.2
103,hsa1030,1030,NG_023297.1
104,hsa10300,10300,NG_046947.1
105,hsa10302,10302,NG_051234.1
106,hsa10309,10309,NG_034201.1
107,hsa10318,10318,NG_030590.1
108,hsa10319,10319,NG_029800.1
109,hsa10320,10320,NG_034231.1
110,hsa10324,10324,NG_042051.1
111,hsa1033,1033,NG_023235.1
112,hsa10331,10331,NG_028981.1
113,hsa10332,10332,NG_029190.1
114,hsa10333,10333,NG_028087.1
115,hsa10342,10342,NG_027821.2
116,hsa10344,10344,NG_015989.1
117,hsa10345,10345,NG_030438.1
118,hsa10367,10367,NG_033179.1
119,hsa10369,10369,NG_031861.2
120,hsa10370,10370,NG_016169.1
121,hsa10371,10371,NG_011489.1
122,hsa10381,10381,NG_027810.1
123,hsa10382,10382,NG_033896.1
124,hsa10389,10389,NG_021431.2
125,hsa10392,10392,NG_013025.1
126,hsa10395,10395,NG_015998.2
127,hsa10397,10397,NG_007943.1
128,hsa1041,1041,NG_012192.1
129,hsa10410,10410,NG_032755.1
130,hsa10413,10413,NG_029530.2
131,hsa10427,10427,NG_032166.1
132,hsa10432,10432,NG_030394.1
133,hsa10436,10436,NG_021408.2
134,hsa1044,1044,NG_046970.1
135,hsa10450,10450,NG_044984.2
136,hsa10452,10452,NG_042854.1
137,hsa10454,10454,NG_029549.1
138,hsa10456,10456,NG_007369.1
139,hsa10458,10458,NG_029486.2
140,hsa10459,10459,NG_052907.1
141,hsa10460,10460,NG_064424.1
142,hsa10461,10461,NG_011607.1
143,hsa10464,10464,NG_053118.1
144,hsa10466,10466,NG_028095.2
145,hsa10468,10468,NG_028911.1
146,hsa10469,10469,NG_051180.1
147,hsa10472,10472,NG_033841.1
148,hsa10479,10479,NG_017160.1
149,hsa10481,10481,NG_033789.1
150,hsa10483,10483,NG_016281.2
151,hsa10484,10484,NG_012157.1
152,hsa10488,10488,NG_046983.1
153,hsa10491,10491,NG_008122.1
154,hsa10492,10492,NG_031848.1
155,hsa10495,10495,NG_012562.2
156,hsa10497,10497,NG_033014.1
157,hsa1050,1050,NG_012022.1
158,hsa1051,1051,NG_029019.1
159,hsa10512,10512,NG_054744.1
160,hsa10514,10514,NG_047119.1
161,hsa10516,10516,NG_008254.1
162,hsa10518,10518,NG_033006.1
163,hsa10520,10520,NG_034028.1
164,hsa10521,10521,NG_029642.1
165,hsa10522,10522,NG_034156.2
166,hsa10524,10524,NG_033057.1
167,hsa10528,10528,NG_032136.1
168,hsa10529,10529,NG_017092.1
169,hsa1053,1053,NG_009617.1
170,hsa10531,10531,NG_052908.1
171,hsa10539,10539,NG_029886.1
172,hsa10540,10540,NG_047120.1
173,hsa10544,10544,NG_032899.2
174,hsa10549,10549,NG_012563.1
175,hsa10555,10555,NG_008090.1
176,hsa10558,10558,NG_007950.1
177,hsa1056,1056,NG_016394.1
178,hsa10564,10564,NG_011490.2
179,hsa10572,10572,NG_029449.1
180,hsa10573,10573,NG_052909.1
181,hsa10574,10574,NG_047121.1
182,hsa10577,10577,NG_007117.1
183,hsa10579,10579,NG_029948.2
184,hsa10580,10580,NG_034041.1
185,hsa10585,10585,NG_008896.2
186,hsa10586,10586,NG_042314.1
187,hsa10587,10587,NG_011835.1
188,hsa10588,10588,NG_029243.1
189,hsa10594,10594,NG_009118.1
190,hsa10599,10599,NG_011745.1
191,hsa10603,10603,NG_033220.1
192,hsa10613,10613,NG_052910.1
193,hsa10616,10616,NG_033233.1
194,hsa10617,10617,NG_033223.2
195,hsa10618,10618,NG_030379.2
196,hsa1062,1062,NG_041798.1
197,hsa1063,1063,NG_046787.1
198,hsa10642,10642,NG_030585.1
199,hsa10644,10644,NG_011602.1
200,hsa10645,10645,NG_029409.1
201,hsa10653,10653,NG_013372.1
202,hsa10654,10654,NG_053028.1
203,hsa1066,1066,NG_012057.1
204,hsa10661,10661,NG_013087.1
205,hsa10664,10664,NG_033892.1
206,hsa10667,10667,NG_033003.2
207,hsa10673,10673,NG_029524.1
208,hsa10675,10675,NG_029493.1
209,hsa10681,10681,NG_052868.1
210,hsa10682,10682,NG_007452.1
211,hsa10683,10683,NG_008256.1
212,hsa10686,10686,NG_008149.1
213,hsa10691,10691,NG_028983.1
214,hsa107,107,NG_034198.1
215,hsa1071,1071,NG_008952.1
216,hsa10716,10716,NG_046904.1
217,hsa10717,10717,NG_031901.1
218,hsa10718,10718,NG_013373.1
219,hsa10725,10725,NG_029600.1
220,hsa1073,1073,NG_012740.1
221,hsa10730,10730,NG_047122.1
222,hsa10733,10733,NG_041821.1
223,hsa10734,10734,NG_034114.1
224,hsa10735,10735,NG_033796.2
225,hsa10736,10736,NG_009360.1
226,hsa10742,10742,NG_016739.1
227,hsa10743,10743,NG_007101.2
228,hsa10747,10747,NG_007289.2
229,hsa10749,10749,NG_034137.1
230,hsa1075,1075,NG_007952.1
231,hsa10758,10758,NG_032030.2
232,hsa10763,10763,NG_012300.1
233,hsa10765,10765,NG_050659.1
234,hsa10767,10767,NG_012002.1
235,hsa10768,10768,NG_029182.1
236,hsa10771,10771,NG_029960.1
237,hsa10788,10788,NG_053128.1
238,hsa10797,10797,NG_029162.1
239,hsa108,108,NG_046913.1
240,hsa1080,1080,NG_016465.4
241,hsa10800,10800,NG_012809.1
